Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"20,410",11.2,38%,46 : 54
2,University of CambridgeUnited Kingdom,"18,390",10.9,35%,45 : 55
3,California Institute of TechnologyUnited States,"2,209",6.5,27%,31 : 69
3,Stanford UniversityUnited States,"15,845",7.5,22%,42 : 58
5,Massachusetts Institute of TechnologyUnited States,"11,177",8.7,34%,37 : 63
6,Harvard UniversityUnited States,"20,326",8.9,26%,n/a
7,Princeton UniversityUnited States,"7,955",8.3,24%,45 : 55
8,Imperial College LondonUnited Kingdom,"15,855",11.4,55%,37 : 63
9,The University of ChicagoUnited States,"13,525",6.2,25%,44 : 56
10,ETH ZurichSwitzerland,"19,233",14.6,38%,31 : 69
10,University of PennsylvaniaUnited States,"20,361",6.5,20%,50 : 50
12,Yale UniversityUnited States,"12,155",4.3,21%,49 : 51
13,Johns Hopkins UniversityUnited States,"15,498",4.3,24%,52 : 48
14,Columbia UniversityUnited States,"26,587",6.1,32%,n/a
15,"University of California, Los AngelesUnited States","39,279",9.6,17%,53 : 47
16,UCLUnited Kingdom,"30,305",10.5,49%,56 : 44
17,Duke UniversityUnited States,"15,256",4.5,22%,49 : 51
18,"University of California, BerkeleyUnited States","36,182",13.1,17%,52 : 48
19,Cornell UniversityUnited States,"21,850",9.8,24%,49 : 51
20,Northwestern UniversityUnited States,"17,466",12.8,18%,48 : 52
21,University of Michigan-Ann ArborUnited States,"41,818",8.6,16%,48 : 52
22,"National University of SingaporeSingapore
Explore","30,602",17,30%,51 : 49
22,University of TorontoCanada,"69,427",18.7,17%,n/a
24,Carnegie Mellon UniversityUnited States,"12,676",13.5,45%,39 : 61
25,London School of Economics and Political ScienceUnited Kingdom,"10,065",12.1,71%,52 : 48
25,University of WashingtonUnited States,"44,945",11.4,16%,52 : 48
27,University of EdinburghUnited Kingdom,"26,760",12.4,40%,59 : 41
27,New York UniversityUnited States,"43,860",9.6,26%,56 : 44
27,Peking UniversityChina,"42,136",8.9,16%,47 : 53
30,Tsinghua UniversityChina,"42,089",13.7,9%,32 : 68
31,"University of California, San DiegoUnited States","29,633",12.8,17%,46 : 54
32,University of MelbourneAustralia,"42,116",26.6,40%,55 : 45
33,Georgia Institute of TechnologyUnited States,"20,773",20.7,27%,31 : 69
34,University of British ColumbiaCanada,"51,889",18.1,29%,54 : 46
34,"LMU MunichGermany
Explore","36,091",15.6,15%,61 : 39
36,King’s College LondonUnited Kingdom,"23,205",12,41%,62 : 38
37,University of Illinois at Urbana-ChampaignUnited States,"43,402",22.8,23%,46 : 54
38,École Polytechnique Fédérale de LausanneSwitzerland,"9,928",11.2,55%,28 : 72
38,Karolinska InstituteSweden,"7,424",10.9,19%,68 : 32
40,"University of Hong KongHong Kong
Explore","18,364",18,42%,54 : 46
41,"Technical University of MunichGermany
Explore","38,689",54.4,23%,34 : 66
42,"McGill UniversityCanada
Explore","30,940",13.3,26%,57 : 43
43,University of Wisconsin-MadisonUnited States,"38,960",10.7,12%,51 : 49
44,"The Hong Kong University of Science and TechnologyHong Kong
Explore","10,214",23.1,31%,n/a
45,"Universität HeidelbergGermany
Explore","28,876",23.2,17%,55 : 45
46,The University of TokyoJapan,"26,000",6.7,10%,n/a
47,"KU LeuvenBelgium
Explore","44,412",37.1,15%,50 : 50
48,"Australian National UniversityAustralia
Explore","15,986",19.3,35%,52 : 48
49,University of Texas at AustinUnited States,"48,561",17.1,10%,51 : 49
50,Brown UniversityUnited States,"8,898",10.7,20%,n/a
50,Washington University in St LouisUnited States,"12,600",7.5,17%,n/a
52,"Nanyang Technological University, SingaporeSingapore
Explore","25,499",16.3,31%,48 : 52
53,"University of California, Santa BarbaraUnited States","23,054",28.1,14%,52 : 48
54,"University of California, DavisUnited States","37,365",13.8,10%,56 : 44
54,"University of ManchesterUnited Kingdom
Explore","35,320",14.6,38%,52 : 48
56,University of MinnesotaUnited States,"60,949",17.4,11%,51 : 49
56,University of North Carolina at Chapel HillUnited States,"34,684",9.7,8%,56 : 44
58,"The Chinese University of Hong KongHong Kong
Explore","18,072",17.3,31%,n/a
59,University of AmsterdamNetherlands,"23,495",12.3,12%,57 : 43
60,Purdue University West LafayetteUnited States,"38,770",17.4,23%,42 : 58
61,The University of SydneyAustralia,"44,553",21.6,32%,57 : 43
62,Humboldt University of BerlinGermany,"32,172",56.5,17%,n/a
63,Delft University of TechnologyNetherlands,"17,057",19.6,27%,28 : 72
64,Wageningen University & ResearchNetherlands,"12,326",19.7,29%,55 : 45
65,"The University of QueenslandAustralia
Explore","38,968",35.7,26%,55 : 45
66,University of Southern CaliforniaUnited States,"38,380",12.8,23%,53 : 47
67,"Leiden UniversityNetherlands
Explore","24,825",18.2,12%,57 : 43
68,Utrecht UniversityNetherlands,"31,522",15.2,7%,59 : 41
69,"University of Maryland, College ParkUnited States","31,772",16.5,10%,48 : 52
70,Boston UniversityUnited States,"24,833",8.6,25%,60 : 40
70,Ohio State University (Main campus)United States,"53,190",12.7,13%,49 : 51
72,Erasmus University RotterdamNetherlands,"22,047",20.1,20%,49 : 51
72,Paris Sciences et Lettres – PSL Research University ParisFrance,"19,978",10.1,25%,n/a
74,Kyoto UniversityJapan,"22,481",8.7,8%,24 : 76
74,Seoul National UniversitySouth Korea,"26,470",12.6,11%,n/a
76,"University of BristolUnited Kingdom
Explore","19,995",13.7,27%,53 : 47
77,Penn State (Main campus)United States,"45,411",15.2,14%,46 : 54
78,"McMaster UniversityCanada
Explore","23,693",24.7,15%,52 : 48
79,RWTH Aachen UniversityGermany,"43,721",57.7,18%,32 : 68
80,"University of GlasgowUnited Kingdom
Explore","23,390",15.4,36%,58 : 42
80,Monash UniversityAustralia,"46,846",33.7,28%,57 : 43
