Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
82,University of FreiburgGermany,"20,871",40.3,19%,57 : 43
83,University of GroningenNetherlands,"26,197",24.1,17%,52 : 48
83,Michigan State UniversityUnited States,"44,556",17,17%,51 : 49
85,"UNSW SydneyAustralia
Explore","40,133",26.7,34%,46 : 54
86,Rice UniversityUnited States,"6,441",9,28%,43 : 57
86,Uppsala UniversitySweden,"25,174",17.3,11%,57 : 43
88,Free University of BerlinGermany,"34,114",57,21%,59 : 41
89,Dartmouth CollegeUnited States,"6,100",6.6,15%,47 : 53
90,University of HelsinkiFinland,"22,532",16.2,6%,65 : 35
91,University of WarwickUnited Kingdom,"18,425",13,39%,48 : 52
92,Technical University of BerlinGermany,"22,390",64.3,20%,34 : 66
93,Lund UniversitySweden,"28,663",12.1,16%,55 : 45
94,University of TübingenGermany,"27,844",38.5,13%,59 : 41
95,University of BaselSwitzerland,"12,729",17.7,27%,55 : 45
95,Korea Advanced Institute of Science and Technology (KAIST)South Korea,"9,464",10.6,9%,20 : 80
97,Durham UniversityUnited Kingdom,"16,310",14.9,29%,54 : 46
98,Emory UniversityUnited States,"12,649",4.4,19%,57 : 43
99,"University of California, IrvineUnited States","30,419",17,21%,52 : 48
100,University of BonnGermany,"35,619",77.9,13%,55 : 45
100,University of Colorado BoulderUnited States,"30,780",16.3,10%,44 : 56
100,University of Pittsburgh-Pittsburgh campusUnited States,"26,367",5.9,10%,52 : 48
