Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,Harvard UniversityUnited States,96.1,99.7,98.7,98.8,34.5,72.4
2,California Institute of TechnologyUnited States,96,97.7,98,99.9,83.7,54.6
3,Massachusetts Institute of TechnologyUnited States,95.6,97.8,91.4,99.9,87.5,82.3
4,Stanford UniversityUnited States,94.3,98.3,98.1,99.2,64.3,29.5
5,Princeton UniversityUnited States,94.2,90.9,95.4,99.9,-,70.3
6,University of CambridgeUnited Kingdom,91.2,90.5,94.1,94,57,77.7
6,University of OxfordUnited Kingdom,91.2,88.2,93.9,95.1,73.5,77.2
8,"University of California, BerkeleyUnited States",91.1,84.2,99.3,97.8,-,39.6
9,Imperial College LondonUnited Kingdom,90.6,89.2,94.5,88.3,92.9,90
10,Yale UniversityUnited States,89.5,92.1,89.7,91.5,-,59.2
11,"University of California, Los AngelesUnited States",87.7,83,92.9,93.2,-,48.1
12,The University of ChicagoUnited States,86.9,79.1,87.9,96.9,-,62.8
13,Johns Hopkins UniversityUnited States,86.4,80.9,89.2,92.3,100,58.5
14,Cornell UniversityUnited States,83.9,82.2,88.8,88.1,34.7,62.4
15,ETH ZurichSwitzerland,83.4,77.5,87.8,83.1,-,93.7
15,University of Michigan-Ann ArborUnited States,83.4,83.9,89.1,84.1,59.6,53.3
17,University of TorontoCanada,82,75.8,87.9,82.2,-,-
18,Columbia UniversityUnited States,81,73.8,73.8,92.6,-,90.9
19,University of PennsylvaniaUnited States,79.5,71.8,82.7,93.6,43.7,32.9
20,Carnegie Mellon UniversityUnited States,79.3,70.3,79.3,95.7,53.7,39.1
21,"University of Hong KongHong Kong
Explore",79.2,68.4,71.4,96.1,56.5,91.4
22,UCLUnited Kingdom,78.4,74,81.6,80.6,39,90.8
23,University of WashingtonUnited States,78,68.2,77.1,95.9,32.8,49
24,Duke UniversityUnited States,76.5,66.8,71.5,92.3,100,49.4
25,Northwestern UniversityUnited States,75.9,64.5,68.8,95.3,-,60.5
26,The University of TokyoJapan,75.6,87.7,91.9,58.1,-,18.4
27,Georgia Institute of TechnologyUnited States,75.3,67.9,72.6,83.2,95.1,73.2
28,Pohang University of Science and Technology (POSTECH)South Korea,75.1,69.5,62.5,96.5,100,32.6
29,"University of California, Santa BarbaraUnited States",75,56.6,68,98.8,89.8,64.3
30,University of British ColumbiaCanada,73.8,65.1,74.8,80.3,42.6,93.3
30,University of North Carolina at Chapel HillUnited States,73.8,70.9,75.1,85,50.2,21.5
32,"University of California, San DiegoUnited States",73.2,59.8,76.3,90.8,51.8,31.6
33,University of Illinois at Urbana-ChampaignUnited States,73,68.1,80.9,72.9,-,55.9
34,"National University of SingaporeSingapore
Explore",72.9,65.5,72.6,78.7,40.5,97.8
35,"McGill UniversityCanada
Explore",71.7,69,74.9,69,-,85.9
36,University of MelbourneAustralia,71,58.7,69.2,83.3,47.7,88
37,Peking UniversityChina,70.7,76.4,61.3,72.2,98.6,68.6
38,Washington University in St LouisUnited States,69.9,58.9,63,88.6,-,56.4
39,École Polytechnique – Institut Polytechnique de ParisFrance,69.5,57.9,56.1,91.4,-,77.9
40,University of EdinburghUnited Kingdom,69.2,59.9,61.9,86.8,42.2,67.3
41,"The Hong Kong University of Science and TechnologyHong Kong
Explore",69,50.4,51.8,98.2,64.1,97.4
42,École Normale SupérieureFrance,68.6,66.8,48.2,95.7,30.7,44.9
43,"Australian National UniversityAustralia
Explore",67,51.9,62.4,81,-,93.9
43,Karolinska InstituteSweden,67,65.8,72.7,62.3,73.3,-
43,University of GöttingenGermany,67,57.3,55.9,92.5,31.7,44.5
43,University of WisconsinUnited States,67,55.5,64.6,83.4,-,43.7
47,Rice UniversityUnited States,66.9,57.4,50.6,99.1,29.2,31.2
48,École Polytechnique Fédérale de LausanneSwitzerland,66.5,55,56.1,83.8,38,100
49,"University of California, IrvineUnited States",66,49.4,54.7,91.6,-,66.3
49,"University of Science and Technology of ChinaChina
Explore",66,57.5,48.6,92.7,30.3,-
51,Vanderbilt UniversityUnited States,65.9,64.9,59.5,78.1,84.2,22.1
52,University of MinnesotaUnited States,65.6,57.6,69.1,76.4,-,23
53,Tufts UniversityUnited States,65.2,64.1,52.3,83.9,-,28.3
54,"University of California, DavisUnited States",65,57.3,70.7,68.8,48,60.5
55,Brown UniversityUnited States,64.9,59.7,57,77.7,-,60.5
56,University of MassachusettsUnited States,64.7,61.3,72.6,67.9,53.9,22.6
57,Kyoto UniversityJapan,64.6,78.9,77.7,46.3,67.1,18.4
58,Tsinghua UniversityChina,64.2,74.9,66.6,52.7,97.8,43
59,Boston UniversityUnited States,64,53.6,51.9,91.4,29.6,38.1
60,New York UniversityUnited States,63.9,62,50.7,82.9,-,31.8
61,Emory UniversityUnited States,63,63.4,48.4,77.8,-,52.3
61,"LMU MunichGermany
Explore",63,59.1,57.5,76.4,40.4,43.1
63,University of Notre DameUnited States,62.8,56.4,45.1,89.1,-,35.6
64,University of Pittsburgh-Pittsburgh campusUnited States,62.7,58.5,58.3,78.3,37.9,25.2
65,Case Western Reserve UniversityUnited States,62.2,67.2,53.8,66,-,56.5
66,Ohio State University (Main campus)United States,62.1,63.5,54.9,67.2,-,64
67,University of Colorado BoulderUnited States,61.6,46.4,58.1,83.4,-,31.7
68,"University of BristolUnited Kingdom
Explore",61.4,49.6,53.1,80.9,36.2,67.2
68,"University of California, Santa CruzUnited States",61.4,38.3,50.4,99.6,-,16.7
68,Yeshiva UniversityUnited States,61.4,63.5,46.7,74.4,-,53.3
71,The University of SydneyAustralia,61.2,49.8,61.9,64.3,90.8,89.6
72,University of Virginia (Main campus)United States,61.1,62,55.4,68.6,-,42.2
73,"University of AdelaideAustralia
Explore",60.7,46.5,38.8,90.5,52.7,87.5
73,University of Southern CaliforniaUnited States,60.7,65.4,48.7,71.9,-,31.2
75,William & MaryUnited States,60.4,53.1,36.1,95.6,-,20.9
76,Trinity College DublinIreland,60.3,47.7,45.3,84.4,31.6,84.2
77,King’s College LondonUnited Kingdom,59.7,48.5,54.5,72.1,44.1,85.9
78,Stony Brook UniversityUnited States,59.6,48.5,43.6,85.8,-,52.2
79,Korea Advanced Institute of Science and Technology (KAIST)South Korea,59.5,71.3,63.4,45.5,100,36.7
79,University of SussexUnited Kingdom,59.5,42.4,42.4,91.6,29.1,72.8
81,"The University of QueenslandAustralia
Explore",59.1,51.8,53.4,69,57.1,74.2
81,University of YorkUnited Kingdom,59.1,47.9,46.2,81.9,36.2,66.6
83,University of UtahUnited States,59,55.8,54.2,72,-,22.5
83,"Universität HeidelbergGermany
Explore",59,59.2,47.5,70.3,39.1,63.4
85,Durham UniversityUnited Kingdom,58.9,39.8,44.1,91,33.9,65.7
86,London School of Economics and Political ScienceUnited Kingdom,58.3,62.4,56.2,51.6,38.4,99.5
87,"University of ManchesterUnited Kingdom
Explore",58,56.5,56.2,59.2,39,79.1
88,"Royal Holloway, University of LondonUnited Kingdom",57.9,37.7,36.2,93.2,30.5,92.9
89,Lund UniversitySweden,57.8,46.3,60.8,67.6,33.2,56.8
90,University of SouthamptonUnited Kingdom,57.7,50.8,47.8,72.9,37.7,69
90,University of ZurichSwitzerland,57.7,56.6,47,65,43.8,87.9
90,Wake Forest UniversityUnited States,57.7,54.6,42.9,79.2,-,24.4
93,"McMaster UniversityCanada
Explore",57.6,44.7,58.7,68.5,-,-
94,University College DublinIreland,57.5,42.4,36.6,86.3,-,87
95,George Washington UniversityUnited States,57.3,60.6,43.1,70.2,-,39.6
95,University of ArizonaUnited States,57.3,52.4,52.2,70.1,84.2,21.9
95,University of BaselSwitzerland,57.3,50.2,37.1,78.3,45.8,91.3
98,"University of Maryland, College ParkUnited States",57.2,45.4,48.6,79.2,-,35.4
99,Dartmouth CollegeUnited States,57.1,44.7,49.2,79.7,-,31
100,École Normale Supérieure de LyonFrance,57,51.1,34.4,88.8,26.1,37.6
