Rank,"Name
Country/Region",Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
70,University of North Carolina at Chapel HillUnited States,71.6,63.3,62.3,93.3,75.7,50.9
71,Institut Polytechnique de ParisFrance,71.3,69.2,60.8,73.4,98.3,97
72,University of Southern CaliforniaUnited States,71,58.3,60.4,92.8,75,73.2
73,"Australian National UniversityAustralia
Explore",70.7,53.6,65.1,85,86.1,94
73,"Leiden UniversityNetherlands
Explore",70.7,46.8,62.8,93.8,98.7,87.7
75,Boston UniversityUnited States,70.6,60.5,56.2,93.2,71.2,75.3
76,Sorbonne UniversityFrance,70.4,64.6,61.1,82.4,71.5,80.8
77,"The University of QueenslandAustralia
Explore",70.3,50.8,61.9,87.8,99.7,93.6
78,"City University of Hong KongHong Kong
Explore",70,53.1,51.8,92.9,100,99.1
78,"University of BristolUnited Kingdom
Explore",70,49.8,56.9,96.8,71.1,92.6
79,Purdue University West LafayetteUnited States,69.9,63,68.9,73.8,86.2,77.2
80,University of GroningenNetherlands,69.8,46.4,57.5,94.8,99.9,93.5
82,Korea Advanced Institute of Science and Technology (KAIST)South Korea,69.5,65.2,66.7,78.3,100,45.7
83,"UNSW SydneyAustralia
Explore",69.1,47.6,57.4,91.7,98.2,93.9
84,Humboldt University of BerlinGermany,68,53.3,63.5,84.9,65.5,76.8
84,"The Hong Kong Polytechnic UniversityHong Kong
Explore",68,46.1,53.5,92.8,93.6,97.7
84,University of MassachusettsUnited States,68,58.6,52.1,87.9,87.4,76
87,"University of GlasgowUnited Kingdom
Explore",67.8,47.5,51.4,96,72,96
87,University of MinnesotaUnited States,67.8,58.4,59.6,86,99.9,46.2
89,University of BonnGermany,67.6,51.8,57.4,89.2,86.2,72.4
90,"University of California, IrvineUnited States",67.3,48.3,53.2,92.9,97.6,78.1
90,Vanderbilt UniversityUnited States,67.3,53.3,49,95.9,95,63.5
92,RWTH Aachen UniversityGermany,67.2,53.9,64.2,78,100,70.3
93,Charité - Universitätsmedizin BerlinGermany,67.1,47.3,49,97.8,100,74.6
93,University of BirminghamUnited Kingdom,67.1,46.7,50.5,95.1,75.3,95.1
95,"KTH Royal Institute of TechnologySweden
Explore",66.9,52.3,58.3,81.5,97.3,82.9
95,Lund UniversitySweden,66.9,48.4,58.4,86,99.8,79.3
97,University of CopenhagenDenmark,66.6,49.1,51.8,92,90.4,79.3
98,Emory UniversityUnited States,66.3,53.9,46.2,95.3,83.6,67.4
98,University of SheffieldUnited Kingdom,66.3,48.7,49.1,90.1,94,91.8
100,Penn State (Main campus)United States,66.2,54.5,62.3,83,70.9,57.6
100,University of TübingenGermany,66.2,47.8,55.1,89,99.8,73
