Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited Kingdom,95.7,91,99.6,98,74.4,96.3
2,California Institute of TechnologyUnited States,95,93.6,96.9,97.8,90.4,83.8
2,Harvard UniversityUnited States,95,94.5,98.9,99.2,48.9,79.8
4,Stanford UniversityUnited States,94.9,92.3,96.8,99.9,91,79.7
5,University of CambridgeUnited Kingdom,94.6,90.9,99.5,96.2,56.7,95.8
5,Massachusetts Institute of TechnologyUnited States,94.6,90.9,94.4,99.7,93.7,89.9
7,Princeton UniversityUnited States,93.6,89.5,96,99,88.8,80.7
8,"University of California, BerkeleyUnited States",92.2,85.7,96,99.1,84.7,77.6
9,Yale UniversityUnited States,90.8,90.7,93,97,56.2,69.9
10,The University of ChicagoUnited States,89.8,87.2,90.6,98.3,56.3,74.4
11,Columbia UniversityUnited States,89.6,87.8,89.6,97.3,48,79.8
12,Imperial College LondonUnited Kingdom,89.3,81.4,88.3,97.6,70.8,97.5
13,Johns Hopkins UniversityUnited States,88.4,80,90.8,97.2,93.7,74.6
13,University of PennsylvaniaUnited States,88.4,84.5,89.2,97.1,77.6,69.7
15,ETH ZurichSwitzerland,88.2,81.3,92.4,90.7,62.5,97.9
16,Peking UniversityChina,87.5,91.4,94.6,81.7,93.1,65.1
16,Tsinghua UniversityChina,87.5,88.1,95.7,86.8,100,50.6
18,University of TorontoCanada,87.2,77.6,93,92.6,61.2,89.1
18,UCLUnited Kingdom,87.2,76.8,88.9,96.9,44.7,96.7
20,"University of California, Los AngelesUnited States",86.7,82.1,89.8,96,56.5,65.1
21,"National University of SingaporeSingapore
Explore",85.2,76.3,90.6,87.3,75.4,94.4
22,Cornell UniversityUnited States,85,78.6,85.4,97.2,38.3,75.4
23,Duke UniversityUnited States,83.5,79.2,78.6,95.6,99,66.6
24,University of Michigan-Ann ArborUnited States,83.1,78.6,85.4,94,48.9,59.5
24,Northwestern UniversityUnited States,83.1,74.3,82.1,97.6,81.6,65.3
26,New York UniversityUnited States,82.4,75.4,83.1,94.7,41.4,72.3
27,London School of Economics and Political ScienceUnited Kingdom,80.8,68,80.8,94.4,35.8,92.7
28,Carnegie Mellon UniversityUnited States,80.6,64.7,80,99,59,80.8
29,University of WashingtonUnited States,79.8,68.8,78.8,99,46.3,61.7
30,University of EdinburghUnited Kingdom,78.9,66.1,74.2,95.6,40.2,95.2
30,"University of Hong KongHong Kong
Explore",78.9,66.2,72.2,95,58.5,98.8
32,"LMU MunichGermany
Explore",78.6,68.1,77.9,90.3,100,69.1
33,University of MelbourneAustralia,77.8,67.5,73.8,88.4,74.9,94
34,"University of California, San DiegoUnited States",77.7,60.5,75.6,97.9,96.6,68.1
35,King’s College LondonUnited Kingdom,76,57.6,71.2,96.9,43.7,95.9
35,The University of TokyoJapan,76,86.9,90.3,58.2,88.1,42
37,University of British ColumbiaCanada,75.8,61.6,74,89.4,47.4,94.9
38,"Technical University of MunichGermany
Explore",75.6,64.5,74.8,85.5,100,76.1
39,Karolinska InstituteSweden,74.3,55.1,71,94.2,70.5,86.2
40,École Polytechnique Fédérale de LausanneSwitzerland,74.1,63.8,67,85.5,74.9,98.3
40,Paris Sciences et Lettres – PSL Research University ParisFrance,74.1,69.1,71.2,80.1,78.7,80.5
42,"Universität HeidelbergGermany
Explore",73.6,67.9,59.9,95.5,54.2,69.6
42,"KU LeuvenBelgium
Explore",73.6,59.1,73.2,86.2,99.2,74.2
44,"McGill UniversityCanada
Explore",73.4,63.3,70.9,83.9,45.3,91.5
