Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
90,RWTH Aachen UniversityGermany,"34,914",43.3,29%,34 : 66
91,University of BonnGermany,"26,290",44.5,17%,57 : 43
92,"University of California, IrvineUnited States","35,675",16.2,26%,53 : 47
92,Vanderbilt UniversityUnited States,"12,971",3.9,17%,55 : 45
94,Charité - Universitätsmedizin BerlinGermany,"8,868",17.5,21%,65 : 35
95,"Lomonosov Moscow State University
Russian Federation","32,680",9.6,37%,50 : 50
95,University of TübingenGermany,"21,632",27.1,14%,59 : 41
97,"KTH Royal Institute of TechnologySweden
Explore","13,269",15.9,26%,34 : 66
97,University of SouthamptonUnited Kingdom,"19,920",13,35%,51 : 49
99,Erasmus University RotterdamNetherlands,"33,874",36,25%,54 : 46
99,Ohio State University (Main campus)United States,"55,538",11.4,11%,51 : 49
