Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,California Institute of TechnologyUnited States,"2,243",6.9,26%,33 : 67
2,University of OxfordUnited Kingdom,"19,920",11.6,34%,46 : 54
3,Stanford UniversityUnited States,"15,596",7.8,22%,42 : 58
4,University of CambridgeUnited Kingdom,"18,810",11.8,34%,46 : 54
5,Massachusetts Institute of TechnologyUnited States,"11,074",9,33%,37 : 63
6,Harvard UniversityUnited States,"20,152",8.9,25%,n/a
7,Princeton UniversityUnited States,"7,929",8.4,27%,45 : 55
8,Imperial College LondonUnited Kingdom,"15,060",11.7,51%,37 : 63
9,ETH ZurichSwitzerland,"18,178",14.7,37%,31 : 69
10,The University of ChicagoUnited States,"14,221",6.9,20%,42 : 58
11,Johns Hopkins UniversityUnited States,"15,128",3.6,23%,50 : 50
12,Yale UniversityUnited States,"11,751",4.4,20%,50 : 50
13,"University of California, BerkeleyUnited States","36,186",16.4,15%,50 : 50
14,UCLUnited Kingdom,"26,605",10.7,46%,56 : 44
15,Columbia UniversityUnited States,"25,055",5.9,28%,n/a
16,"University of California, Los AngelesUnited States","38,206",10.3,15%,52 : 48
17,University of PennsylvaniaUnited States,"20,376",6.5,20%,51 : 49
18,Cornell UniversityUnited States,"21,424",10.2,19%,48 : 52
19,University of TorontoCanada,"66,198",19.5,15%,n/a
20,Duke UniversityUnited States,"15,172",4.8,17%,49 : 51
21,University of Michigan-Ann ArborUnited States,"41,786",9,16%,48 : 52
22,Carnegie Mellon UniversityUnited States,"11,885",13.1,35%,39 : 61
23,London School of Economics and Political ScienceUnited Kingdom,"9,235",12.1,70%,53 : 47
24,University of EdinburghUnited Kingdom,"25,775",14.1,36%,58 : 42
25,Northwestern UniversityUnited States,"18,334",13.8,15%,48 : 52
26,"National University of SingaporeSingapore
Explore","31,592",15.5,34%,49 : 51
27,King’s College LondonUnited Kingdom,"21,395",11.4,37%,61 : 39
28,Karolinska InstituteSweden,"7,774",11.5,22%,70 : 30
29,"LMU MunichGermany
Explore","35,691",15.5,13%,62 : 38
30,New York UniversityUnited States,"42,056",6.8,19%,55 : 45
31,École Polytechnique Fédérale de LausanneSwitzerland,"9,666",10.5,54%,27 : 73
32,University of WashingtonUnited States,"44,020",11.8,13%,53 : 47
33,University of MelbourneAustralia,"40,128",23.7,35%,55 : 45
34,University of British ColumbiaCanada,"50,152",17.6,25%,54 : 46
35,"KU LeuvenBelgium
Explore","42,503",41.9,18%,54 : 46
36,University of Illinois at Urbana-ChampaignUnited States,"42,727",18.7,20%,47 : 53
37,"Universität HeidelbergGermany
Explore","28,881",24.5,17%,55 : 45
38,"McGill UniversityCanada
Explore","31,326",13.7,23%,56 : 44
39,"University of California, San DiegoUnited States","27,233",6.5,11%,48 : 52
39,"University of California, Santa BarbaraUnited States","22,020",27.3,11%,52 : 48
41,Georgia Institute of TechnologyUnited States,"19,967",20.1,26%,31 : 69
42,Peking UniversityChina,"40,148",8.3,14%,n/a
43,The University of TokyoJapan,"26,199",5.7,10%,n/a
44,"University of California, DavisUnited States","35,364",13.9,13%,54 : 46
44,"University of Hong KongHong Kong
Explore","19,835",17.6,38%,53 : 47
46,University of Texas at AustinUnited States,"49,427",17.4,9%,51 : 49
47,Tsinghua UniversityChina,"39,763",13.7,10%,32 : 68
47,Wageningen University & ResearchNetherlands,"9,248",17,21%,56 : 44
49,Humboldt University of BerlinGermany,"29,987",52.5,16%,n/a
50,University of Wisconsin-MadisonUnited States,"39,655",10.8,11%,51 : 49
51,Brown UniversityUnited States,"8,653",10.1,19%,n/a
52,"Australian National UniversityAustralia
Explore","14,604",19.2,35%,52 : 48
53,"Technical University of MunichGermany
Explore","35,565",31.5,20%,33 : 67
54,École Normale SupérieureFrance,"2,400",7.9,20%,46 : 54
55,"Nanyang Technological University, SingaporeSingapore
Explore","25,028",16.2,33%,48 : 52
56,"University of ManchesterUnited Kingdom
Explore","34,940",15.3,34%,52 : 48
56,The University of SydneyAustralia,"41,868",20.2,28%,57 : 43
58,University of AmsterdamNetherlands,"24,570",14.4,11%,53 : 47
59,"The Hong Kong University of Science and TechnologyHong Kong
Explore","11,385",23.8,36%,n/a
60,"The University of QueenslandAustralia
Explore","34,718",32.7,27%,53 : 47
60,Washington University in St LouisUnited States,"12,528",5.7,17%,0 : 100
62,Utrecht UniversityNetherlands,"30,779",15.4,7%,59 : 41
63,University of North Carolina at Chapel HillUnited States,"26,518",7.3,8%,58 : 42
64,Boston UniversityUnited States,"24,789",8.6,17%,58 : 42
65,Delft University of TechnologyNetherlands,"15,920",19.4,25%,26 : 74
65,University of MinnesotaUnited States,"46,825",18,12%,52 : 48
67,"Leiden UniversityNetherlands
Explore","21,222",17.1,9%,59 : 41
68,University of Southern CaliforniaUnited States,"36,534",12.9,20%,52 : 48
69,"University of BristolUnited Kingdom
Explore","17,905",14,25%,53 : 47
70,Durham UniversityUnited Kingdom,"15,490",15.7,24%,54 : 46
71,Erasmus University RotterdamNetherlands,"20,580",18.9,17%,48 : 52
72,Free University of BerlinGermany,"33,062",39.3,20%,58 : 42
73,Monash UniversityAustralia,"50,882",40.5,36%,56 : 44
74,University of GroningenNetherlands,"24,556",25.6,11%,52 : 48
75,Penn State (Main campus)United States,"44,501",12.4,12%,46 : 54
76,"University of GlasgowUnited Kingdom
Explore","22,615",16,29%,57 : 43
76,University of HelsinkiFinland,"23,505",15.1,6%,66 : 34
78,University of TübingenGermany,"28,327",38.9,12%,58 : 42
79,University of Pittsburgh-Pittsburgh campusUnited States,"26,485",5.8,10%,51 : 49
80,University of WarwickUnited Kingdom,"18,530",16.6,37%,48 : 52
81,Uppsala UniversitySweden,"25,266",18.2,12%,57 : 43
82,University of CopenhagenDenmark,"27,545",4.1,19%,67 : 33
82,"UNSW SydneyAustralia
Explore","38,309",25.9,32%,47 : 53
84,University of FreiburgGermany,"26,467",31.2,16%,52 : 48
85,Seoul National UniversitySouth Korea,"26,389",13.9,10%,n/a
86,University of St AndrewsUnited Kingdom,"8,340",12.7,47%,56 : 44
87,Vanderbilt UniversityUnited States,"12,161",3.6,9%,52 : 48
88,Kyoto UniversityJapan,"22,809",5.6,7%,n/a
88,"Maastricht UniversityNetherlands
Explore","15,626",18.9,48%,56 : 44
90,Emory UniversityUnited States,"12,338",4.5,18%,56 : 44
90,Lund UniversitySweden,"28,251",11.5,15%,n/a
90,Ohio State University (Main campus)United States,"51,462",13.4,12%,49 : 51
93,University of ExeterUnited Kingdom,"17,755",18.8,28%,54 : 46
94,University of BonnGermany,"32,474",70.4,12%,55 : 45
94,Georgetown UniversityUnited States,"15,408",8.5,14%,53 : 47
94,"McMaster UniversityCanada
Explore","23,823",19.3,15%,53 : 47
97,University of SheffieldUnited Kingdom,"23,310",15.4,31%,50 : 50
