Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"20,665",11.2,41%,46 : 54
2,California Institute of TechnologyUnited States,"2,240",6.4,30%,34 : 66
3,University of CambridgeUnited Kingdom,"18,980",10.9,37%,47 : 53
4,Stanford UniversityUnited States,"16,135",7.3,23%,43 : 57
5,Massachusetts Institute of TechnologyUnited States,"11,247",8.6,34%,39 : 61
6,Princeton UniversityUnited States,"7,983",8.1,25%,45 : 55
7,Harvard UniversityUnited States,"20,823",9.2,24%,49 : 51
8,Yale UniversityUnited States,"12,402",5.4,20%,50 : 50
9,The University of ChicagoUnited States,"13,833",5.7,28%,46 : 54
10,Imperial College LondonUnited Kingdom,"16,760",11.6,56%,38 : 62
11,University of PennsylvaniaUnited States,"20,578",6.5,21%,52 : 48
12,Johns Hopkins UniversityUnited States,"16,171",4.5,26%,52 : 48
13,"University of California, BerkeleyUnited States","41,081",13.7,17%,50 : 50
13,ETH ZurichSwitzerland,"18,956",12.5,39%,32 : 68
15,UCLUnited Kingdom,"32,665",10.6,52%,57 : 43
16,Columbia UniversityUnited States,"26,586",5.8,37%,n/a
17,"University of California, Los AngelesUnited States","41,066",9.4,17%,54 : 46
18,University of TorontoCanada,"73,370",20.1,21%,59 : 41
19,Cornell UniversityUnited States,"22,319",9.8,25%,49 : 51
20,Duke UniversityUnited States,"15,309",4.3,19%,49 : 51
21,University of Michigan-Ann ArborUnited States,"42,982",8.3,17%,49 : 51
22,Northwestern UniversityUnited States,"17,951",12.8,20%,49 : 51
23,Tsinghua UniversityChina,"38,783",12,11%,34 : 66
24,Peking UniversityChina,"39,575",11.5,15%,46 : 54
25,"National University of SingaporeSingapore
Explore","30,869",17.9,28%,51 : 49
26,University of WashingtonUnited States,"45,692",11.1,16%,53 : 47
27,Carnegie Mellon UniversityUnited States,"13,430",13.6,48%,41 : 59
27,London School of Economics and Political ScienceUnited Kingdom,"10,570",12.1,71%,53 : 47
29,New York UniversityUnited States,"44,466",8.9,33%,57 : 43
30,University of EdinburghUnited Kingdom,"29,435",12.8,41%,60 : 40
31,"University of California, San DiegoUnited States","33,579",13,23%,46 : 54
32,"LMU MunichGermany
Explore","34,519",34.7,17%,61 : 39
32,University of MelbourneAustralia,"47,385",26.3,46%,56 : 44
34,University of British ColumbiaCanada,"52,108",18.1,32%,55 : 45
35,"University of Hong KongHong Kong
Explore","18,260",18.2,44%,54 : 46
36,King’s College LondonUnited Kingdom,"26,055",12.5,44%,62 : 38
36,The University of TokyoJapan,"25,913",10.6,12%,n/a
38,École Polytechnique Fédérale de LausanneSwitzerland,"10,492",11.4,59%,28 : 72
38,Georgia Institute of TechnologyUnited States,"21,372",18.3,27%,33 : 67
38,University of Texas at AustinUnited States,"49,165",17.2,10%,52 : 48
41,Karolinska InstituteSweden,"7,777",9,20%,68 : 32
42,"McGill UniversityCanada
Explore","31,294",13,29%,58 : 42
43,"Technical University of MunichGermany
Explore","40,472",47.8,27%,34 : 66
44,"Universität HeidelbergGermany
Explore","20,800",16.1,18%,54 : 46
45,"KU LeuvenBelgium
Explore","45,049",36.3,15%,50 : 50
45,Paris Sciences et Lettres – PSL Research University ParisFrance,"21,298",11.5,26%,46 : 54
47,"The Hong Kong University of Science and TechnologyHong Kong
Explore","10,125",22.3,31%,n/a
48,University of Illinois at Urbana-ChampaignUnited States,"44,916",17.9,24%,47 : 53
48,"Nanyang Technological University, SingaporeSingapore
Explore","25,088",15.9,27%,48 : 52
50,"Australian National UniversityAustralia
Explore","17,359",17.8,44%,52 : 48
51,University of Wisconsin-MadisonUnited States,"39,154",10,13%,n/a
52,Washington University in St LouisUnited States,"13,401",7.5,20%,n/a
53,Brown UniversityUnited States,"9,391",10.8,20%,n/a
54,University of North Carolina at Chapel HillUnited States,"35,419",9.4,8%,57 : 43
55,"University of California, DavisUnited States","39,164",12,14%,58 : 42
55,"University of ManchesterUnited Kingdom
Explore","37,040",14.4,40%,53 : 47
57,"University of California, Santa BarbaraUnited States","24,089",27.6,16%,52 : 48
57,"The Chinese University of Hong KongHong Kong
Explore","18,340",18.6,32%,n/a
59,Wageningen University & ResearchNetherlands,"13,914",21.3,27%,53 : 47
60,The University of SydneyAustralia,"45,111",20.1,39%,58 : 42
61,Boston UniversityUnited States,"25,662",11.6,27%,60 : 40
62,University of AmsterdamNetherlands,"26,723",13.5,18%,56 : 44
62,University of Southern CaliforniaUnited States,"36,929",11.7,25%,53 : 47
64,Seoul National UniversitySouth Korea,"26,182",12.4,12%,n/a
65,Kyoto UniversityJapan,"22,566",9,9%,24 : 76
66,"The University of QueenslandAustralia
Explore","39,144",35.7,34%,55 : 45
67,Delft University of TechnologyNetherlands,"18,743",20.2,30%,29 : 71
67,"Leiden UniversityNetherlands
Explore","28,741",18.7,16%,59 : 41
69,Erasmus University RotterdamNetherlands,"23,167",20.4,23%,51 : 49
70,Ohio State University (Main campus)United States,"54,372",12.5,13%,50 : 50
71,"UNSW SydneyAustralia
Explore","44,336",35.7,41%,47 : 53
72,"McMaster UniversityCanada
Explore","24,412",28.1,17%,55 : 45
73,University of GroningenNetherlands,"27,228",23.8,21%,51 : 49
74,Humboldt University of BerlinGermany,"33,463",56.1,17%,n/a
75,Monash UniversityAustralia,"52,989",33.9,39%,57 : 43
75,Utrecht UniversityNetherlands,"31,833",14.2,9%,59 : 41
77,University of WarwickUnited Kingdom,"20,600",13.2,41%,49 : 51
78,Penn State (Main campus)United States,"46,204",15.3,16%,46 : 54
79,University of MinnesotaUnited States,"61,120",12.4,11%,52 : 48
80,Charité - Universitätsmedizin BerlinGermany,"7,076",17.6,19%,64 : 36
80,Emory UniversityUnited States,"12,735",4,20%,58 : 42
80,"University of Science and Technology of ChinaChina
Explore","16,245",7.7,4%,n/a
80,Sorbonne UniversityFrance,"43,076",13.5,19%,58 : 42
84,Michigan State UniversityUnited States,"44,789",16.5,16%,51 : 49
85,"Université de MontréalCanada
Explore","36,794",20.2,22%,n/a
86,University of FreiburgGermany,"21,475",42.8,23%,54 : 46
87,"University of BristolUnited Kingdom
Explore","21,785",13.6,27%,54 : 46
88,Purdue University West LafayetteUnited States,"40,451",15.7,23%,43 : 57
89,"Sungkyunkwan University (SKKU)South Korea
Explore","23,342",19.5,15%,43 : 57
90,University of ZurichSwitzerland,"22,609",12.3,21%,57 : 43
91,"University of Maryland, College ParkUnited States","33,108",16.6,11%,48 : 52
91,University of TübingenGermany,"27,901",37.5,14%,58 : 42
93,École Polytechnique – Institut Polytechnique de ParisFrance,"3,030",5.7,40%,22 : 78
94,University of BaselSwitzerland,"11,518",15.8,27%,56 : 44
94,Dartmouth CollegeUnited States,"6,247",7.7,15%,49 : 51
96,"University of California, IrvineUnited States","32,706",16.5,26%,52 : 48
96,University of HelsinkiFinland,"22,072",16.6,5%,66 : 34
96,Lund UniversitySweden,"27,266",12.1,19%,54 : 46
99,"University of GlasgowUnited Kingdom
Explore","25,355",15.4,37%,59 : 41
99,RWTH Aachen UniversityGermany,"45,377",61.1,21%,32 : 68
