Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
78,"University of BristolUnited Kingdom
Explore",64.3,44.8,48.6,96.1,40.5,86.3
79,University of GroningenNetherlands,64.1,42.5,54.4,90.7,79.7,77.5
79,University of WarwickUnited Kingdom,64.1,48,51.8,87,41.5,93.3
81,Penn State (Main campus)United States,63.8,53.2,62.5,81.1,50.8,46.4
82,"University of Maryland, College ParkUnited States",63.7,47.8,57.7,93.2,38.7,41.2
82,"Sungkyunkwan University (SKKU)South Korea
Explore",63.7,58.4,59.1,74.8,96.9,48.8
84,Emory UniversityUnited States,63.6,56,39.7,98.4,43.6,56.4
84,Monash UniversityAustralia,63.6,46.1,53.7,83.8,74.1,88.7
86,Rice UniversityUnited States,63.5,50.9,40.4,97.9,44.6,75.1
87,RWTH Aachen UniversityGermany,63.3,56.7,60.7,71.3,98.8,56.2
87,Uppsala UniversitySweden,63.3,44.3,55.7,87.7,77.3,67.4
89,University of TübingenGermany,63.2,50,54.4,84.9,67,62.6
90,Charité - Universitätsmedizin BerlinGermany,63,47.6,46.1,93.2,87.8,63.1
90,"Université de MontréalCanada
Explore",63,47.8,50.2,84.6,74.3,85
90,University of ZurichSwitzerland,63,46.5,46.4,89.6,53.4,91.4
93,"University of Science and Technology of ChinaChina
Explore",62.9,62.3,54.7,77.1,89.2,32.2
93,"University of GlasgowUnited Kingdom
Explore",62.8,41.2,48.3,93.6,40.1,92.3
93,Michigan State UniversityUnited States,62.8,56.5,54.2,79.8,37.9,62.9
96,"University of California, IrvineUnited States",62.7,44.5,47.6,94.6,60.8,69.3
96,"UNSW SydneyAustralia
Explore",62.7,45,54.1,82.3,52.4,92.6
98,Lund UniversitySweden,62.5,41.9,53.2,87.4,78,77.3
99,Dartmouth CollegeUnited States,62.4,59.6,38.9,95.9,41.3,40.1
99,University of HelsinkiFinland,62.4,46.2,57.6,87.5,37.4,54.4
