Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"20,835",10.7,42%,47 : 53
2,California Institute of TechnologyUnited States,"2,233",6.3,34%,36 : 64
2,Harvard UniversityUnited States,"21,574",9.5,24%,50 : 50
4,Stanford UniversityUnited States,"16,319",7.3,23%,46 : 54
5,University of CambridgeUnited Kingdom,"19,680",11.1,39%,47 : 53
5,Massachusetts Institute of TechnologyUnited States,"11,459",8.4,33%,40 : 60
7,Princeton UniversityUnited States,"7,753",7.5,23%,47 : 53
8,"University of California, BerkeleyUnited States","40,306",18.9,23%,51 : 49
9,Yale UniversityUnited States,"13,317",5.9,21%,51 : 49
10,The University of ChicagoUnited States,"14,895",6.1,33%,46 : 54
11,Columbia UniversityUnited States,"21,608",4.6,35%,n/a
12,Imperial College LondonUnited Kingdom,"17,715",11.2,59%,40 : 60
13,Johns Hopkins UniversityUnited States,"16,552",4.3,28%,52 : 48
13,University of PennsylvaniaUnited States,"21,211",6.4,22%,53 : 47
15,ETH ZurichSwitzerland,"20,428",14.4,41%,32 : 68
16,Peking UniversityChina,"31,606",10.2,19%,46 : 54
16,Tsinghua UniversityChina,"38,221",11.5,13%,34 : 66
18,University of TorontoCanada,"75,821",25.5,25%,57 : 43
18,UCLUnited Kingdom,"35,760",10.6,57%,58 : 42
20,"University of California, Los AngelesUnited States","42,054",10,17%,55 : 45
21,"National University of SingaporeSingapore
Explore","31,819",18.8,25%,50 : 50
22,Cornell UniversityUnited States,"23,600",10.3,25%,50 : 50
23,Duke UniversityUnited States,"15,785",4.2,22%,52 : 48
24,University of Michigan-Ann ArborUnited States,"44,663",8.1,17%,50 : 50
24,Northwestern UniversityUnited States,"18,735",13,19%,50 : 50
26,New York UniversityUnited States,"45,424",11,35%,57 : 43
27,London School of Economics and Political ScienceUnited Kingdom,"10,910",12.1,72%,53 : 47
28,Carnegie Mellon UniversityUnited States,"14,163",13.5,47%,43 : 57
29,University of WashingtonUnited States,"52,059",11.6,17%,54 : 46
30,University of EdinburghUnited Kingdom,"31,630",12.1,44%,61 : 39
30,"University of Hong KongHong Kong
Explore","18,037",18.3,43%,54 : 46
32,"LMU MunichGermany
Explore","34,274",33.7,18%,61 : 39
33,University of MelbourneAustralia,"52,098",26.5,50%,57 : 43
34,"University of California, San DiegoUnited States","36,256",12.2,29%,48 : 52
35,King’s College LondonUnited Kingdom,"28,250",12,49%,62 : 38
35,The University of TokyoJapan,"25,959",10.6,14%,n/a
37,University of British ColumbiaCanada,"54,744",18.9,33%,55 : 45
38,"Technical University of MunichGermany
Explore","32,672",38.7,33%,37 : 63
39,Karolinska InstituteSweden,"7,937",9.6,24%,69 : 31
40,École Polytechnique Fédérale de LausanneSwitzerland,"11,266",12.3,62%,29 : 71
40,Paris Sciences et Lettres – PSL Research University ParisFrance,"20,547",15.1,25%,47 : 53
42,"Universität HeidelbergGermany
Explore","19,530",13.9,19%,55 : 45
42,"KU LeuvenBelgium
Explore","46,327",36.3,16%,51 : 49
44,"McGill UniversityCanada
Explore","31,581",12.6,32%,59 : 41
45,Georgia Institute of TechnologyUnited States,"27,838",25.7,25%,33 : 67
46,"Nanyang Technological University, SingaporeSingapore
Explore","23,951",14.7,24%,48 : 52
47,University of Texas at AustinUnited States,"49,845",16.7,10%,53 : 47
48,University of Illinois at Urbana-ChampaignUnited States,"47,202",18.3,23%,48 : 52
49,"The Chinese University of Hong KongHong Kong
Explore","18,478",19.1,25%,n/a
50,"University of ManchesterUnited Kingdom
Explore","36,545",14.3,43%,54 : 46
51,Washington University in St LouisUnited States,"14,243",7.9,22%,n/a
52,University of North Carolina at Chapel HillUnited States,"31,064",8.1,8%,58 : 42
53,Wageningen University & ResearchNetherlands,"14,871",20.2,27%,53 : 47
54,"Australian National UniversityAustralia
Explore","18,934",17.6,47%,52 : 48
54,"The University of QueenslandAustralia
Explore","41,914",35.8,41%,55 : 45
54,Seoul National UniversitySouth Korea,"26,871",15.4,11%,n/a
57,Monash UniversityAustralia,"60,211",44.1,45%,57 : 43
58,The University of SydneyAustralia,"47,956",19.3,47%,59 : 41
58,University of Wisconsin-MadisonUnited States,"39,783",10.3,14%,n/a
60,Fudan UniversityChina,"33,140",11.1,12%,52 : 48
61,Kyoto UniversityJapan,"22,299",9.2,11%,25 : 75
62,Boston UniversityUnited States,"27,785",11,29%,59 : 41
63,University of Southern CaliforniaUnited States,"42,502",13.2,24%,49 : 51
64,Brown UniversityUnited States,"9,851",10.6,20%,n/a
65,University of AmsterdamNetherlands,"25,556",13.1,29%,58 : 42
66,"The Hong Kong University of Science and TechnologyHong Kong
Explore","10,147",21.3,31%,n/a
67,"University of California, DavisUnited States","37,222",13.2,19%,59 : 41
68,"University of California, Santa BarbaraUnited States","25,578",28.2,19%,54 : 46
69,Utrecht UniversityNetherlands,"33,569",18.1,11%,59 : 41
70,"UNSW SydneyAustralia
Explore","48,077",40.5,44%,46 : 54
71,"Leiden UniversityNetherlands
Explore","31,556",19.4,19%,60 : 40
72,Erasmus University RotterdamNetherlands,"28,933",29.3,22%,53 : 47
73,Charité - Universitätsmedizin BerlinGermany,"7,998",18.7,21%,64 : 36
74,Humboldt University of BerlinGermany,"33,868",54.2,18%,n/a
75,Delft University of TechnologyNetherlands,"20,133",17,31%,31 : 69
75,"Zhejiang UniversityChina
Explore","40,352",11.8,20%,n/a
75,University of ZurichSwitzerland,"23,714",15,22%,57 : 43
78,University of TübingenGermany,"20,438",26.2,14%,59 : 41
78,University of WarwickUnited Kingdom,"22,710",14.2,43%,50 : 50
80,University of GroningenNetherlands,"29,440",23.8,27%,52 : 48
80,"McMaster UniversityCanada
Explore","26,112",30.2,20%,56 : 44
82,Emory UniversityUnited States,"13,179",4.4,20%,60 : 40
83,Free University of BerlinGermany,"27,018",43.2,23%,61 : 39
84,Shanghai Jiao Tong UniversityChina,"36,638",11.3,10%,43 : 57
85,Ohio State University (Main campus)United States,"55,809",12.4,13%,50 : 50
86,"University of GlasgowUnited Kingdom
Explore","27,625",13.9,40%,59 : 41
86,University of MinnesotaUnited States,"61,321",12,10%,54 : 46
88,"Université de MontréalCanada
Explore","36,524",19.6,23%,n/a
88,"University of Science and Technology of ChinaChina
Explore","16,718",7.3,5%,n/a
88,Sorbonne UniversityFrance,"42,330",14.2,21%,58 : 42
91,"The Hong Kong Polytechnic UniversityHong Kong
Explore","21,979",26.4,29%,52 : 48
91,Institut Polytechnique de ParisFrance,"6,087",6.9,40%,24 : 76
92,"University of BristolUnited Kingdom
Explore","24,110",14.4,30%,56 : 44
93,"University of Maryland, College ParkUnited States","34,017",16.7,11%,48 : 52
93,Michigan State UniversityUnited States,"45,689",16,14%,52 : 48
96,University of CopenhagenDenmark,"30,326",4.2,18%,61 : 39
96,Ghent UniversityBelgium,"38,984",35.7,11%,56 : 44
98,"University of California, IrvineUnited States","35,944",17.1,28%,51 : 49
99,Dartmouth CollegeUnited States,"6,378",7.6,15%,49 : 51
99,Korea Advanced Institute of Science and Technology (KAIST)South Korea,"9,504",10.3,10%,20 : 80
