Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"20,775",11.1,41%,46 : 54
2,Stanford UniversityUnited States,"16,223",7.4,23%,44 : 56
3,Harvard UniversityUnited States,"21,261",9.3,25%,49 : 51
4,California Institute of TechnologyUnited States,"2,238",6.3,33%,36 : 64
5,Massachusetts Institute of TechnologyUnited States,"11,276",8.4,34%,39 : 61
6,University of CambridgeUnited Kingdom,"19,370",11,38%,47 : 53
7,"University of California, BerkeleyUnited States","39,918",19.8,17%,51 : 49
8,Yale UniversityUnited States,"12,910",6,20%,50 : 50
9,Princeton UniversityUnited States,"8,091",8,23%,46 : 54
10,The University of ChicagoUnited States,"14,292",5.9,31%,46 : 54
11,Imperial College LondonUnited Kingdom,"17,175",11.6,58%,39 : 61
12,Johns Hopkins UniversityUnited States,"16,432",4.4,27%,52 : 48
13,University of PennsylvaniaUnited States,"20,771",6.4,21%,52 : 48
14,ETH ZurichSwitzerland,"19,632",13.1,40%,32 : 68
15,"University of California, Los AngelesUnited States","41,673",10,17%,55 : 45
16,UCLUnited Kingdom,"34,590",10.8,55%,57 : 43
17,Columbia UniversityUnited States,"27,384",5.7,39%,n/a
18,University of TorontoCanada,"74,502",20,22%,59 : 41
19,Cornell UniversityUnited States,"23,016",10.2,25%,50 : 50
20,Duke UniversityUnited States,"15,489",4.3,21%,49 : 51
20,Tsinghua UniversityChina,"37,484",11.6,13%,34 : 66
22,University of Michigan-Ann ArborUnited States,"43,873",8.3,17%,50 : 50
23,Peking UniversityChina,"38,583",11.1,16%,43 : 57
24,Northwestern UniversityUnited States,"18,529",13,19%,49 : 51
25,"National University of SingaporeSingapore
Explore","30,943",18,26%,50 : 50
26,New York UniversityUnited States,"44,474",8.8,34%,57 : 43
27,London School of Economics and Political ScienceUnited Kingdom,"10,660",12,72%,54 : 46
28,Carnegie Mellon UniversityUnited States,"14,058",13.7,48%,43 : 57
29,University of WashingtonUnited States,"46,258",10.7,17%,53 : 47
30,University of EdinburghUnited Kingdom,"30,650",12.1,42%,60 : 40
31,University of MelbourneAustralia,"50,094",27,48%,57 : 43
32,"LMU MunichGermany
Explore","34,249",33.6,17%,61 : 39
33,"University of California, San DiegoUnited States","34,232",12,30%,47 : 53
34,University of British ColumbiaCanada,"53,123",18.7,32%,55 : 45
35,King’s College LondonUnited Kingdom,"27,400",12.4,46%,62 : 38
36,Karolinska InstituteSweden,"7,696",8.8,26%,68 : 32
36,The University of TokyoJapan,"25,935",10.6,13%,n/a
38,Georgia Institute of TechnologyUnited States,"26,043",23.6,27%,33 : 67
39,"University of Hong KongHong Kong
Explore","18,135",18.2,43%,54 : 46
40,"McGill UniversityCanada
Explore","31,578",12.8,31%,59 : 41
41,"Technical University of MunichGermany
Explore","32,377",39.8,31%,36 : 64
42,"Universität HeidelbergGermany
Explore","20,020",14.5,18%,54 : 46
43,École Polytechnique Fédérale de LausanneSwitzerland,"10,942",12.2,60%,29 : 71
44,University of Texas at AustinUnited States,"49,510",16.9,10%,52 : 48
45,"KU LeuvenBelgium
Explore","45,617",36.1,15%,50 : 50
46,Paris Sciences et Lettres – PSL Research University ParisFrance,"20,701",14.7,24%,46 : 54
47,"Nanyang Technological University, SingaporeSingapore
Explore","23,902",14.8,25%,48 : 52
48,University of Illinois at Urbana-ChampaignUnited States,"45,980",17.8,24%,48 : 52
49,University of Wisconsin-MadisonUnited States,"39,451",9.8,13%,n/a
50,Washington University in St LouisUnited States,"13,693",7.5,21%,n/a
51,"University of ManchesterUnited Kingdom
Explore","36,555",14.4,41%,53 : 47
51,The University of SydneyAustralia,"46,453",19.4,43%,58 : 42
53,University of Southern CaliforniaUnited States,"41,953",13,23%,49 : 51
54,Boston UniversityUnited States,"26,510",11.1,28%,59 : 41
54,Kyoto UniversityJapan,"22,935",9.3,11%,25 : 75
56,"The Chinese University of Hong KongHong Kong
Explore","18,675",19.3,33%,n/a
56,"The Hong Kong University of Science and TechnologyHong Kong
Explore","9,976",21.6,30%,n/a
56,University of North Carolina at Chapel HillUnited States,"30,956",8.2,8%,58 : 42
59,"Australian National UniversityAustralia
Explore","18,801",17.8,47%,53 : 47
60,Seoul National UniversitySouth Korea,"26,757",15.1,11%,n/a
61,Brown UniversityUnited States,"9,695",10.8,20%,n/a
62,"The University of QueenslandAustralia
Explore","40,389",35.5,38%,55 : 45
62,Wageningen University & ResearchNetherlands,"14,356",21,27%,54 : 46
64,"University of California, DavisUnited States","36,395",13.6,17%,58 : 42
64,Monash UniversityAustralia,"57,406",41.7,43%,57 : 43
66,University of AmsterdamNetherlands,"24,747",12.8,24%,57 : 43
67,"UNSW SydneyAustralia
Explore","46,234",41,44%,47 : 53
68,"University of California, Santa BarbaraUnited States","24,780",28.2,18%,53 : 47
69,"McMaster UniversityCanada
Explore","25,285",30.5,18%,55 : 45
70,Fudan UniversityChina,"32,597",11.2,13%,52 : 48
70,"Leiden UniversityNetherlands
Explore","30,178",19,18%,59 : 41
72,Erasmus University RotterdamNetherlands,"26,453",26.8,22%,50 : 50
73,"Université de MontréalCanada
Explore","36,774",20.2,21%,n/a
73,University of ZurichSwitzerland,"22,960",14.8,21%,57 : 43
75,Charité - Universitätsmedizin BerlinGermany,"7,431",17.4,20%,65 : 35
75,Utrecht UniversityNetherlands,"32,022",14,10%,58 : 42
77,University of WarwickUnited Kingdom,"21,775",13.3,41%,49 : 51
78,Delft University of TechnologyNetherlands,"19,594",17.4,31%,30 : 70
78,University of TübingenGermany,"27,590",36.6,14%,58 : 42
80,University of GroningenNetherlands,"28,392",23.9,23%,51 : 49
80,Humboldt University of BerlinGermany,"33,388",56.3,18%,n/a
80,Ohio State University (Main campus)United States,"54,650",12.1,13%,50 : 50
83,University of FreiburgGermany,"14,878",32.5,21%,54 : 46
84,University of CopenhagenDenmark,"30,746",4.2,17%,62 : 38
85,Emory UniversityUnited States,"12,923",4,20%,59 : 41
85,University of MinnesotaUnited States,"61,994",12.4,11%,53 : 47
87,École Polytechnique – Institut Polytechnique de ParisFrance,"2,850",5.6,44%,23 : 77
87,"University of Science and Technology of ChinaChina
Explore","16,434",7.2,5%,n/a
87,Sorbonne UniversityFrance,"43,585",12.8,20%,58 : 42
90,"University of Maryland, College ParkUnited States","33,671",16.6,11%,48 : 52
91,"University of BristolUnited Kingdom
Explore","22,980",14.5,28%,55 : 45
92,University of BaselSwitzerland,"9,229",12.3,30%,55 : 45
92,"University of GlasgowUnited Kingdom
Explore","26,535",14.7,38%,59 : 41
94,Purdue University West LafayetteUnited States,"41,573",16.3,22%,43 : 57
94,"Zhejiang UniversityChina
Explore","33,825",10.8,23%,23 : 77
96,Korea Advanced Institute of Science and Technology (KAIST)South Korea,"9,514",10.4,9%,20 : 80
97,National Taiwan University (NTU)Taiwan,"24,880",9.9,12%,43 : 57
98,"University of California, IrvineUnited States","35,040",17.5,27%,52 : 48
98,University of HelsinkiFinland,"22,137",15.9,5%,66 : 34
100,Shanghai Jiao Tong UniversityChina,"38,556",11.9,11%,39 : 61
