Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
78,"McMaster UniversityCanada
Explore",63.4,45.6,48.8,89.9,89.8,78.1
79,RWTH Aachen UniversityGermany,63.3,53.4,62.4,72.8,99.7,56.4
80,"University of GlasgowUnited Kingdom
Explore",63.2,43.4,48.9,92.6,38.6,90.4
80,Monash UniversityAustralia,63.2,47.4,55.4,80.9,71.5,83.8
82,University of FreiburgGermany,62.9,47.1,54.3,83.1,100,67.2
83,University of GroningenNetherlands,62.8,40.7,54.8,89,77.2,74.4
83,Michigan State UniversityUnited States,62.8,55.1,53.3,82.6,35.7,61.2
85,"UNSW SydneyAustralia
Explore",62.5,40.9,57.5,82.8,49.8,91.4
86,Rice UniversityUnited States,62.2,45.1,41.9,98.7,42.4,72.7
86,Uppsala UniversitySweden,62.2,42.9,56.1,84.6,79.5,68.8
88,Free University of BerlinGermany,62.1,58.7,66.5,60.6,39.8,71.8
89,Dartmouth CollegeUnited States,62,58.5,41.9,93.4,37.9,39.1
90,University of HelsinkiFinland,61.7,45.7,56.6,86.9,35.5,53.3
91,University of WarwickUnited Kingdom,61.6,46.6,52,80.4,41,91.9
92,Technical University of BerlinGermany,61.5,49,58,74.2,97.8,62.4
93,Lund UniversitySweden,61.3,40.8,52.6,85.9,70.9,76.1
94,University of TübingenGermany,61.2,45.7,55.4,83,55.4,60.8
95,University of BaselSwitzerland,60.9,39.8,39.9,91,99.9,95.9
95,Korea Advanced Institute of Science and Technology (KAIST)South Korea,60.9,56.3,59.2,70.4,100,35.6
97,Durham UniversityUnited Kingdom,60.8,44.8,47.9,84.6,36.8,89
98,Emory UniversityUnited States,60.7,47.1,40.4,98.1,42.3,53.3
99,"University of California, IrvineUnited States",60.6,43.4,44.9,93.6,43.9,65.2
100,University of BonnGermany,60.5,47.3,41.6,91.3,83.5,58.4
100,University of Colorado BoulderUnited States,60.5,44.8,45.8,97.4,37.5,42.4
100,University of Pittsburgh-Pittsburgh campusUnited States,60.5,45.7,48.7,94.9,39.9,36.8
