Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,California Institute of TechnologyUnited States,94.3,92.2,98.1,99.7,89.1,67
2,Harvard UniversityUnited States,93.3,92.9,98.6,98.9,44,67.6
3,University of OxfordUnited Kingdom,93.2,88.6,97.7,95.5,72.9,90.7
4,Stanford UniversityUnited States,92.9,91.5,96.7,99.1,63.1,69
5,University of CambridgeUnited Kingdom,92,89.7,95.6,95.2,51.1,87.8
6,Massachusetts Institute of TechnologyUnited States,91.9,89.1,88.2,100,95.7,84.3
7,Princeton UniversityUnited States,90.9,86.6,94.7,99.6,82.7,61.2
8,"University of California, BerkeleyUnited States",89.5,84.2,96.7,99.1,44.8,58.5
9,Imperial College LondonUnited Kingdom,87.5,84.6,88.3,89.4,72.7,92.7
9,Yale UniversityUnited States,87.5,88.5,90.8,94,42,59.8
11,The University of ChicagoUnited States,87.1,83.9,89.9,97.3,36.8,65.2
12,"University of California, Los AngelesUnited States",85.5,82.4,90.5,95.3,-,49.2
13,ETH ZurichSwitzerland,84.6,78.2,90.2,83.5,73.2,96.6
14,Columbia UniversityUnited States,84.4,83.9,79.4,95.3,-,68.3
15,Johns Hopkins UniversityUnited States,83,75.6,84.2,93.6,100,59.7
16,University of PennsylvaniaUnited States,81,79,82,94.4,43,43.8
17,University of Michigan-Ann ArborUnited States,80.9,77,86.5,88.9,55.7,49.8
18,Duke UniversityUnited States,79.9,73.5,75.2,96.6,100,50.5
19,Cornell UniversityUnited States,79.4,71.6,83.8,91.5,33.7,59
20,University of TorontoCanada,79.3,74.4,85.1,83,46.1,71.2
21,Northwestern UniversityUnited States,79.2,72.7,78.9,96.9,77,36.7
22,UCLUnited Kingdom,78.7,70.4,80.4,85.1,46.2,90.6
23,The University of TokyoJapan,76.1,81.4,85.1,74.7,51.2,32.4
24,Carnegie Mellon UniversityUnited States,74.3,61.6,74.9,92,53,59.3
25,"National University of SingaporeSingapore
Explore",73.3,72,78.1,66,53.4,94.9
26,University of WashingtonUnited States,73.2,64.5,68.9,95,44.7,47.9
27,Georgia Institute of TechnologyUnited States,72.8,62.5,71.2,85.8,72.3,68.9
28,University of Texas at AustinUnited States,72.3,64.3,72,91.5,58.1,33.1
29,"LMU MunichGermany
Explore",71.9,65.1,69.1,83,100,56.4
29,University of Illinois at Urbana-ChampaignUnited States,71.9,67.7,79,77.8,51.7,43.9
29,University of Wisconsin-MadisonUnited States,71.9,67.7,71.3,87.7,53.3,33.6
32,University of British ColumbiaCanada,71.8,60.5,69,85.3,40.1,84.8
33,University of MelbourneAustralia,71.2,60.4,70.9,80.6,61.2,81.3
34,London School of Economics and Political ScienceUnited Kingdom,70.9,65.4,74.2,71.3,40.6,87.4
34,École Polytechnique Fédérale de LausanneSwitzerland,70.9,54.7,56.9,95,61.9,98.8
36,University of EdinburghUnited Kingdom,70.4,58.9,62.9,88.3,41.2,84.3
37,"University of California, Santa BarbaraUnited States",70,49.4,61.4,99.2,87.1,64.3
38,New York UniversityUnited States,69.9,68.3,62.4,89.5,30.2,41.2
39,"McGill UniversityCanada
Explore",69.6,63.3,69.9,76,38.6,79
40,King’s College LondonUnited Kingdom,69.4,55.6,62.3,88.3,39,87
41,"University of California, San DiegoUnited States",68.6,52,66.6,96.4,54.2,37
42,Washington University in St LouisUnited States,67.8,57.6,55.2,97.1,-,46.5
43,"University of Hong KongHong Kong
Explore",67.5,62.1,72.6,65.1,56,81.9
44,Karolinska InstituteSweden,66.8,57.1,68,76.8,65.5,60.6
45,"Australian National UniversityAustralia
Explore",66.5,53.7,70.9,71.1,38.9,91.3
46,University of MinnesotaUnited States,65.9,59.9,64.7,82.9,-,33.8
46,University of North Carolina at Chapel HillUnited States,65.9,57.9,58.6,91,40.5,35.3
48,Peking UniversityChina,65.2,70,61.9,63.7,100,53.7
49,Tsinghua UniversityChina,65.1,64.1,68.3,65,99.7,44.6
50,Seoul National UniversitySouth Korea,64.8,75.5,77.1,48.7,86.3,30.3
51,"The Hong Kong University of Science and TechnologyHong Kong
Explore",64.7,51.8,66.8,72.9,57.6,77.8
52,Korea Advanced Institute of Science and Technology (KAIST)South Korea,64.5,63.5,63.2,71.4,100,34.9
52,"University of ManchesterUnited Kingdom
Explore",64.5,58.1,58.7,74.3,39.4,82
54,Brown UniversityUnited States,64.1,55.5,54.2,92,32.7,37
55,"KU LeuvenBelgium
Explore",63.7,53,63.6,71.8,99.9,62.3
55,"University of California, DavisUnited States",63.7,54.4,59.7,80.4,55.4,52.9
57,Boston UniversityUnited States,63.6,56.4,46.7,94.4,30.3,47.8
58,Penn State (Main campus)United States,62.9,54.6,64.8,76,60.4,37.4
59,Kyoto UniversityJapan,62.8,70.4,68.4,57,73.3,29
60,The University of SydneyAustralia,62.7,52.8,60.8,69,67.3,83.6
61,"Nanyang Technological University, SingaporeSingapore
Explore",62.2,43.9,55.9,75.9,100,92.5
61,École Polytechnique – Institut Polytechnique de ParisFrance,62.2,50.5,47.1,79.9,76.8,94.5
63,Scuola Normale Superiore di PisaItaly,61.9,48.2,46,96.4,40.1,50.1
64,"Leiden UniversityNetherlands
Explore",61.3,45,58.2,82.3,47.3,59.5
65,"The University of QueenslandAustralia
Explore",61.2,45.8,58.4,74.2,66.2,80.4
66,Pohang University of Science and Technology (POSTECH)South Korea,61.1,52.7,49.3,84.4,100,36
67,University of GöttingenGermany,61,46.9,48,92.3,32.8,53.9
68,Ohio State University (Main campus)United States,60.7,54,51.1,80.4,46.8,51.5
69,Rice UniversityUnited States,59.8,41.7,37.1,99.9,34.6,70.8
70,"Universität HeidelbergGermany
Explore",59.6,52.6,45.4,81.4,41.6,63.1
71,Delft University of TechnologyNetherlands,59.2,55.5,71.4,42.6,100,77.9
72,Erasmus University RotterdamNetherlands,59.1,39.8,53.7,82.3,54.4,66.2
73,Wageningen University & ResearchNetherlands,59,44.3,46.8,77.5,100,78.7
74,"University of BristolUnited Kingdom
Explore",58.9,43.7,44.7,85.1,42.1,76.6
75,University of BaselSwitzerland,58.4,41.2,41.1,81.4,97.7,91.2
75,University of Southern CaliforniaUnited States,58.4,55.2,44.6,81.3,34.4,42.7
77,University of AmsterdamNetherlands,58.2,42,55.4,76.6,56.7,60.5
78,École Normale SupérieureFrance,58.1,48.7,36.2,84.8,39.4,81.9
79,Utrecht UniversityNetherlands,58,38.2,54.8,80,84.1,52.9
80,Humboldt University of BerlinGermany,57.9,51.9,52.6,71.9,31.9,55.7
81,Free University of BerlinGermany,57.6,49.4,58,67.6,33.5,56.6
82,Michigan State UniversityUnited States,57.3,51.1,49.4,74,31.7,55
83,Durham UniversityUnited Kingdom,56.9,37.2,40.7,88.9,34.8,80.4
83,Monash UniversityAustralia,56.9,43.7,54.4,65.7,73.4,79.6
85,Middle East Technical UniversityTurkey,56.6,45.5,36.9,92,55.2,38.7
86,University of ArizonaUnited States,56.5,44.9,51.4,74,99.6,38.8
