Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"20,300",11,40%,46 : 54
2,University of CambridgeUnited Kingdom,"18,750",10.9,37%,46 : 54
3,Stanford UniversityUnited States,"15,878",7.4,23%,43 : 57
4,Massachusetts Institute of TechnologyUnited States,"11,231",8.7,34%,38 : 62
5,California Institute of TechnologyUnited States,"2,255",6.5,29%,33 : 67
6,Harvard UniversityUnited States,"20,595",9.1,26%,48 : 52
7,Princeton UniversityUnited States,"7,996",8.2,24%,45 : 55
8,Yale UniversityUnited States,"12,318",5.2,20%,50 : 50
9,Imperial College LondonUnited Kingdom,"16,425",11.6,56%,38 : 62
10,The University of ChicagoUnited States,"13,562",6.1,25%,44 : 56
11,ETH ZurichSwitzerland,"18,171",12.3,39%,31 : 69
12,Johns Hopkins UniversityUnited States,"16,146",4.6,25%,52 : 48
12,University of PennsylvaniaUnited States,"20,443",6.4,20%,52 : 48
14,UCLUnited Kingdom,"31,695",10.6,51%,57 : 43
15,"University of California, BerkeleyUnited States","36,468",13.2,17%,51 : 49
16,Columbia UniversityUnited States,"26,586",6,37%,n/a
17,"University of California, Los AngelesUnited States","39,464",9.2,17%,53 : 47
18,Duke UniversityUnited States,"15,037",4.4,18%,48 : 52
19,Cornell UniversityUnited States,"21,904",9.8,25%,49 : 51
20,University of Michigan-Ann ArborUnited States,"41,831",8.3,17%,48 : 52
21,University of TorontoCanada,"72,202",19,19%,n/a
22,Tsinghua UniversityChina,"36,912",11.9,11%,34 : 66
23,"National University of SingaporeSingapore
Explore","30,727",17.4,28%,50 : 50
24,Carnegie Mellon UniversityUnited States,"13,033",13.3,47%,40 : 60
25,Northwestern UniversityUnited States,"17,600",13,19%,48 : 52
26,London School of Economics and Political ScienceUnited Kingdom,"10,030",11.8,70%,52 : 48
27,New York UniversityUnited States,"44,433",8.9,32%,56 : 44
28,University of WashingtonUnited States,"45,476",11.3,16%,53 : 47
29,University of EdinburghUnited Kingdom,"28,155",12.7,41%,60 : 40
30,"University of California, San DiegoUnited States","31,687",12.9,20%,46 : 54
31,Peking UniversityChina,"42,547",8.9,17%,48 : 52
32,"LMU MunichGermany
Explore","35,389",36,16%,61 : 39
32,University of MelbourneAustralia,"45,030",26.6,42%,56 : 44
34,Georgia Institute of TechnologyUnited States,"21,903",21.5,27%,32 : 68
35,École Polytechnique Fédérale de LausanneSwitzerland,"10,343",11.4,57%,28 : 72
36,"University of Hong KongHong Kong
Explore","18,122",18.1,43%,54 : 46
37,University of British ColumbiaCanada,"53,566",18.6,30%,54 : 46
38,King’s College LondonUnited Kingdom,"24,295",12.1,42%,62 : 38
39,University of Texas at AustinUnited States,"48,561",17.1,10%,51 : 49
40,Karolinska InstituteSweden,"7,898",9.2,19%,68 : 32
41,"The Hong Kong University of Science and TechnologyHong Kong
Explore","10,394",23.6,31%,n/a
41,Paris Sciences et Lettres – PSL Research University ParisFrance,"20,722",11.3,26%,44 : 56
42,The University of TokyoJapan,"25,828",7.6,11%,n/a
43,University of Wisconsin-MadisonUnited States,"39,193",10.5,12%,n/a
44,"McGill UniversityCanada
Explore","31,060",13,28%,58 : 42
44,"Technical University of MunichGermany
Explore","39,726",50.6,24%,34 : 66
47,"Universität HeidelbergGermany
Explore","20,953",16.6,17%,54 : 46
48,"KU LeuvenBelgium
Explore","44,719",36.5,15%,49 : 51
49,"Australian National UniversityAustralia
Explore","16,840",18.5,39%,52 : 48
50,University of Illinois at Urbana-ChampaignUnited States,"43,908",17.9,24%,47 : 53
51,"Nanyang Technological University, SingaporeSingapore
Explore","25,738",16.7,28%,48 : 52
52,"University of California, Santa BarbaraUnited States","23,457",27.9,16%,52 : 48
53,Brown UniversityUnited States,"9,082",10.7,21%,n/a
53,"The Chinese University of Hong KongHong Kong
Explore","17,883",18.4,33%,n/a
54,Washington University in St LouisUnited States,"13,074",7.3,20%,n/a
56,University of North Carolina at Chapel HillUnited States,"34,226",9.4,8%,57 : 43
57,"University of ManchesterUnited Kingdom
Explore","36,530",14.5,39%,53 : 47
58,Delft University of TechnologyNetherlands,"17,880",20,29%,28 : 72
59,"University of California, DavisUnited States","37,847",13.5,13%,57 : 43
59,The University of SydneyAustralia,"43,333",20.5,35%,58 : 42
59,Wageningen University & ResearchNetherlands,"13,214",20.9,29%,55 : 45
62,University of AmsterdamNetherlands,"23,778",12.3,12%,56 : 44
63,Seoul National UniversitySouth Korea,"26,066",12.3,12%,n/a
64,Purdue University West LafayetteUnited States,"39,409",17,23%,42 : 58
65,Kyoto UniversityJapan,"22,420",8.8,8%,24 : 76
66,University of Southern CaliforniaUnited States,"35,510",11.6,25%,53 : 47
67,Humboldt University of BerlinGermany,"33,000",59,17%,n/a
68,"Leiden UniversityNetherlands
Explore","26,321",18,13%,57 : 43
69,"The University of QueenslandAustralia
Explore","38,187",34.4,31%,55 : 45
70,Erasmus University RotterdamNetherlands,"22,019",19.6,22%,50 : 50
71,University of MinnesotaUnited States,"60,620",12.3,11%,52 : 48
71,Ohio State University (Main campus)United States,"53,540",12.8,12%,49 : 51
73,Sorbonne UniversityFrance,"42,681",14.3,19%,59 : 41
74,Boston UniversityUnited States,"25,095",8.4,27%,60 : 40
74,Utrecht UniversityNetherlands,"31,551",14.3,7%,59 : 41
76,University of FreiburgGermany,"22,005",44.5,22%,55 : 45
77,"McMaster UniversityCanada
Explore","24,602",27.3,16%,53 : 47
78,"University of BristolUnited Kingdom
Explore","20,570",13.2,27%,53 : 47
79,University of GroningenNetherlands,"26,183",23.8,18%,52 : 48
79,University of WarwickUnited Kingdom,"19,650",13.3,41%,50 : 50
81,Penn State (Main campus)United States,"45,704",15,15%,46 : 54
82,"University of Maryland, College ParkUnited States","32,099",16.2,10%,47 : 53
82,"Sungkyunkwan University (SKKU)South Korea
Explore","23,359",19.5,14%,42 : 58
84,Emory UniversityUnited States,"12,647",4.2,20%,58 : 42
84,Monash UniversityAustralia,"49,728",34.6,35%,57 : 43
86,Rice UniversityUnited States,"6,554",8.9,28%,42 : 58
87,RWTH Aachen UniversityGermany,"44,517",61.8,19%,32 : 68
87,Uppsala UniversitySweden,"25,061",16.9,14%,56 : 44
89,University of TübingenGermany,"28,743",39.2,14%,58 : 42
90,Charité - Universitätsmedizin BerlinGermany,"6,943",17.5,19%,64 : 36
90,"Université de MontréalCanada
Explore","37,311",20.3,23%,59 : 41
90,University of ZurichSwitzerland,"26,340",14.7,20%,57 : 43
93,"University of Science and Technology of ChinaChina
Explore","16,152",8.4,4%,n/a
93,"University of GlasgowUnited Kingdom
Explore","24,235",15.3,36%,58 : 42
93,Michigan State UniversityUnited States,"44,951",17,17%,51 : 49
96,"University of California, IrvineUnited States","31,089",16.7,24%,53 : 47
96,"UNSW SydneyAustralia
Explore","41,358",30.5,36%,47 : 53
98,Lund UniversitySweden,"28,454",11.8,17%,54 : 46
99,Dartmouth CollegeUnited States,"6,172",6.7,15%,48 : 52
99,University of HelsinkiFinland,"22,418",16.6,6%,65 : 35
