Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,California Institute of TechnologyUnited States,94.8,95.7,98.2,99.9,97,56
2,Harvard UniversityUnited States,93.9,95.8,97.4,99.8,35.9,67.5
2,Stanford UniversityUnited States,93.9,94.8,98.9,99.8,63.8,57.2
4,University of OxfordUnited Kingdom,93.6,89.5,96.6,97.9,62.1,91.9
5,Princeton UniversityUnited States,92.9,91.5,99.1,100,81,49.6
6,University of CambridgeUnited Kingdom,92.4,90.5,94.2,97.3,55.5,85.3
7,Massachusetts Institute of TechnologyUnited States,92.3,92.7,87.4,100,94.4,79.2
8,Imperial College LondonUnited Kingdom,90.7,88.8,88.7,93.9,93.1,92.2
9,The University of ChicagoUnited States,90.2,89.4,90.8,99.4,-,58.8
10,"University of California, BerkeleyUnited States",89.8,82.8,99.4,99.4,62.5,50.4
11,Yale UniversityUnited States,89.1,92.3,91.2,96.7,34.7,55.5
12,Columbia UniversityUnited States,87.5,89.1,81.8,97.8,-,67.6
13,"University of California, Los AngelesUnited States",87.3,85.9,92.5,97.3,-,41
14,Johns Hopkins UniversityUnited States,85.8,78.9,86.5,97.3,100,59.9
15,ETH ZurichSwitzerland,85,79.1,85.8,87.2,-,97.5
16,University of PennsylvaniaUnited States,84.9,87,86.1,97.9,41.9,34.3
17,UCLUnited Kingdom,83.2,77.8,84.3,89,41.4,91.8
18,University of Michigan-Ann ArborUnited States,82.8,75.4,90,94.3,53.3,47.2
19,University of TorontoCanada,81.6,76.9,87.4,86.5,44.9,69
20,Cornell UniversityUnited States,80.5,70.4,87.2,93.5,-,53.4
21,Carnegie Mellon UniversityUnited States,78.4,65.7,79.5,97.4,60.7,55
22,Duke UniversityUnited States,77.4,62.6,77.9,97.4,100,46.9
22,University of British ColumbiaCanada,77.4,68.6,78.6,85.2,40.6,88.7
24,Georgia Institute of TechnologyUnited States,77,66.6,73.8,91.9,99.2,65
25,University of WashingtonUnited States,76.5,70.8,74,98.2,31.8,36.9
26,Northwestern UniversityUnited States,76.2,66.3,75.5,98.6,56.6,35.3
27,University of Wisconsin-MadisonUnited States,75.8,74.3,77.3,90.6,55.3,23.8
28,"McGill UniversityCanada
Explore",75.5,72.8,78.4,77.1,35.1,81.4
29,University of Texas at AustinUnited States,74.9,69.5,76.1,89.6,57.7,38.8
30,The University of TokyoJapan,74.3,86.1,80.3,69.1,76.6,23
31,University of Illinois at Urbana-ChampaignUnited States,74.2,67.9,81.3,81.5,-,50.7
32,Karolinska InstituteSweden,73.1,69.9,73.8,73.1,78.5,82
33,"University of California, San DiegoUnited States",73,61.4,72,97.8,51.8,31.5
34,"University of Hong KongHong Kong
Explore",72.3,74,80.1,60.5,64.1,83.7
35,"University of California, Santa BarbaraUnited States",72.1,55,65.3,99.9,85,52.6
36,University of EdinburghUnited Kingdom,72,63,61.4,92.3,41.3,79.8
37,University of MelbourneAustralia,71.9,62.2,72.4,80.7,44.4,82.5
38,"Australian National UniversityAustralia
Explore",71.2,62.8,75.1,72.6,41.7,93.8
38,"University of California, DavisUnited States",71.2,68,68.7,83.4,52.5,51.4
40,"National University of SingaporeSingapore
Explore",70.9,65.7,79,63.4,60.7,93
41,Washington University in St LouisUnited States,70.5,64,58.9,96.1,-,45.7
42,University of MinnesotaUnited States,70,66.1,72.5,85.4,-,25.6
43,University of North Carolina at Chapel HillUnited States,69.3,67.6,62.6,92.6,35.5,20.2
44,New York UniversityUnited States,69,60.2,65.4,92.3,30.9,38.1
45,"LMU MunichGermany
Explore",67.6,63.8,59.9,84.6,40.7,54.3
46,École Polytechnique Fédérale de LausanneSwitzerland,66.3,53.1,43.9,95.3,46.7,98.9
47,London School of Economics and Political ScienceUnited Kingdom,66,66.4,75.4,50.6,41.1,96
48,"University of ManchesterUnited Kingdom
Explore",65.7,59,61.1,75.6,37.7,80.4
49,Brown UniversityUnited States,65.6,59.8,53.6,93.9,34.9,33.4
49,Peking UniversityChina,65.6,82.3,64.1,51,99.9,51.7
51,Penn State (Main campus)United States,64.9,53.5,66.7,83.4,61.6,29.5
52,Kyoto UniversityJapan,64.8,76.4,72,56.3,71.7,21.1
53,Pohang University of Science and Technology (POSTECH)South Korea,64.6,56.4,51.9,92.3,100,25
54,Boston UniversityUnited States,64.2,60.7,46.2,95.6,27.6,37.2
55,University of Southern CaliforniaUnited States,64,65.8,48.7,80.2,99.3,41.1
56,King’s College LondonUnited Kingdom,63.2,49.8,54.2,80.9,40.8,90
57,Ohio State University (Main campus)United States,63,61.8,56.2,77.5,49.9,42.2
58,The University of SydneyAustralia,62.4,55.4,65.7,57.2,92.1,88.1
59,University of Pittsburgh-Pittsburgh campusUnited States,62,54.3,53.9,88.7,37.5,26.5
59,École Normale SupérieureFrance,62,56.6,33.5,96.4,44.7,66.2
61,University of ZurichSwitzerland,61.9,56.7,45.9,78.4,43.5,87.4
62,"The Hong Kong University of Science and TechnologyHong Kong
Explore",61.7,51,58.6,71,59,80.1
63,École Polytechnique – Institut Polytechnique de ParisFrance,61.5,50.4,38.8,89.1,63,86.1
64,University of MassachusettsUnited States,61.1,54,58.3,80.1,53.2,27.3
65,"McMaster UniversityCanada
Explore",61,41.9,49.9,85.5,97.5,72
66,"University of BristolUnited Kingdom
Explore",60.9,44.2,47.7,89.9,34.8,73.7
67,"KU LeuvenBelgium
Explore",60.8,52.5,64.7,63,99.9,56.7
68,Utrecht UniversityNetherlands,60.4,42.8,53.2,85.7,59.3,58.1
69,University of GöttingenGermany,60.3,51.4,50.9,84.1,32.7,48
70,Vanderbilt UniversityUnited States,59.6,52.1,47.6,86.8,64.4,26.8
71,Tsinghua UniversityChina,59.5,74.1,70.1,37.4,99.8,33.4
72,Rice UniversityUnited States,59,45.9,38,99.9,36.2,39.7
73,"Universität HeidelbergGermany
Explore",58.7,57.1,41.5,78.5,37.6,62.3
74,"The University of QueenslandAustralia
Explore",58.6,47.5,52.3,70.2,62.6,80.8
75,Emory UniversityUnited States,57.4,48.4,39.8,90.9,34.4,37.3
75,Wageningen University & ResearchNetherlands,57.4,50.1,47.6,66.3,100,75.9
77,Tufts UniversityUnited States,57.3,45.8,37.4,94.5,35.4,41.3
77,University of Colorado BoulderUnited States,57.3,39.5,42.6,98.2,-,30.8
79,"Leiden UniversityNetherlands
Explore",57,45.4,55.3,71.7,48.6,54.4
80,Lund UniversitySweden,56.9,40.4,58.5,72.8,32.6,61.2
81,Rutgers University – New BrunswickUnited States,56.8,51.6,60,69,-,25.3
81,University of RochesterUnited States,56.8,47,33.5,94.5,36.4,45.7
83,Durham UniversityUnited Kingdom,56.4,32.5,37.9,96.2,30.5,75.8
84,Pierre and Marie Curie UniversityFrance,56,56.3,30.5,81.1,26.2,66.7
85,University of St AndrewsUnited Kingdom,55.7,37.1,40.2,83,34.1,89.1
86,"University of California, IrvineUnited States",55.4,36.2,42.3,93.5,45.6,36.3
87,Uppsala UniversitySweden,55.2,47.2,65.1,53.3,43.4,59.1
88,"Technical University of MunichGermany
Explore",55.1,50,37.1,76.3,47.2,65.2
89,University of Notre DameUnited States,55,42.6,36.2,94.1,27.3,33.1
90,Dartmouth CollegeUnited States,54.9,44.8,38.7,89.9,-,30.6
91,University of HelsinkiFinland,54.8,39.3,54.2,75.1,28.9,46.8
92,University of AmsterdamNetherlands,54.7,41.7,54.7,68.3,42.5,56.4
93,Case Western Reserve UniversityUnited States,54.6,54.2,40.2,78.4,-,29.9
94,Korea Advanced Institute of Science and Technology (KAIST)South Korea,54.5,64.2,54.6,47.1,100,29.3
94,"University of Maryland, College ParkUnited States",54.5,41.1,43.6,85.8,28.5,35.3
96,Michigan State UniversityUnited States,54.4,47.4,49.6,73.6,28,34
97,University of ArizonaUnited States,54.2,45.1,43,78.3,86,28.4
98,Purdue University West LafayetteUnited States,54,56.6,49.4,57.8,-,52.6
99,University of SussexUnited Kingdom,53.9,30.6,34.8,92,28.1,79.8
100,"University of AlbertaCanada
Explore",53.7,50.6,54.4,51.7,53.7,71.9
