Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,California Institute of TechnologyUnited States,95.5,96.3,99.4,99.7,95.6,59.8
2,Stanford UniversityUnited States,93.7,95,98.8,99.3,62.4,56.6
2,University of OxfordUnited Kingdom,93.7,89.7,98.1,95.6,79.8,88.7
4,Harvard UniversityUnited States,93.6,94.9,98.6,99.2,39.9,63.7
5,Massachusetts Institute of TechnologyUnited States,93.1,92.9,89.2,99.9,92.9,81.6
6,Princeton UniversityUnited States,92.7,89.5,99.4,99.8,79.5,54.5
7,University of CambridgeUnited Kingdom,92.6,91.2,95.6,96.2,59.1,83.6
8,Imperial College LondonUnited Kingdom,90.6,88,90.9,93,87.5,91.4
9,"University of California, BerkeleyUnited States",90.5,85.1,99.3,99.3,65.4,49.7
10,The University of ChicagoUnited States,90.4,89.6,92.9,98.7,-,55.3
11,Yale UniversityUnited States,89.2,93.2,92.5,94.8,38.2,54.7
12,ETH ZurichSwitzerland,87.8,82.5,92.7,86.6,-,95.7
13,"University of California, Los AngelesUnited States",87.7,87.3,93.8,95.9,-,42.3
14,Columbia UniversityUnited States,87,89.7,82,96.1,-,66.1
15,University of PennsylvaniaUnited States,86.6,90,89.4,96.2,43.7,38.1
16,Johns Hopkins UniversityUnited States,85.6,81.8,85.5,95.3,100,57.3
17,UCLUnited Kingdom,85.5,83.5,88.8,86.8,45.1,89
18,Cornell UniversityUnited States,83.3,77,92.1,91.8,39.5,53.8
19,Northwestern UniversityUnited States,83.1,77.6,87.3,98.2,64.4,33.8
20,University of Michigan-Ann ArborUnited States,82.6,76.1,91.4,91.6,53.9,47.6
21,University of TorontoCanada,82.2,79.6,89.4,85.1,42.9,65.1
22,Carnegie Mellon UniversityUnited States,81.5,71.8,87,95.5,55.9,51.4
23,Duke UniversityUnited States,81.2,72.3,81.5,97,100,45.8
24,University of WashingtonUnited States,79.9,74.7,81.3,97,41.3,39.1
25,Georgia Institute of TechnologyUnited States,78.8,70.2,79.5,90.3,74.9,66.3
25,University of Texas at AustinUnited States,78.8,75.5,80.7,91,57.9,42.1
27,The University of TokyoJapan,78.3,87.9,89.9,71.3,59,27.6
28,University of MelbourneAustralia,77.9,68.4,82.5,83.7,67.6,77.2
29,"National University of SingaporeSingapore
Explore",77.5,74.4,87.2,67.2,77.4,92.3
