Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
71,"UNSW SydneyAustralia
Explore",67.5,51.1,59,85.9,63.5,95.1
73,Charité - Universitätsmedizin BerlinGermany,67.2,48.5,52.2,98.8,87.1,69.3
74,"University of Science and Technology of ChinaChina
Explore",67.1,65,64.9,78.8,69.4,36.9
75,University of GroningenNetherlands,66.6,45.4,57.6,90.4,75.8,89.8
76,"University of BristolUnited Kingdom
Explore",66.5,43.8,53.4,98.6,43.5,89.4
77,"Leiden UniversityNetherlands
Explore",66.4,43.2,64.4,86.6,68.4,85.4
78,Yonsei University (Seoul campus)South Korea,66.3,67,68.9,63.9,94.8,52.8
79,"The Hong Kong Polytechnic UniversityHong Kong
Explore",65.8,46.6,57,86.7,56,97.6
80,Erasmus University RotterdamNetherlands,65.7,38.6,57.1,95.6,64.4,89.7
81,University of Wisconsin-MadisonUnited States,65.5,59.7,62.9,78.7,48.4,51.8
82,Emory UniversityUnited States,65.3,54.8,46,98,48.6,59.8
82,"University of GlasgowUnited Kingdom
Explore",65.3,43.3,50.8,96.5,41.9,93.8
82,University of ZurichSwitzerland,65.3,51.5,50.7,87.5,57.6,93
85,"McMaster UniversityCanada
Explore",65.1,42.7,51.1,94.6,89.9,84.7
86,Humboldt University of BerlinGermany,64.9,55.2,64.3,75.6,42.8,70.5
86,University of TübingenGermany,64.9,51.1,58.2,84.5,79.9,64.1
88,"University of AdelaideAustralia
Explore",64.7,42.7,51.8,92.2,65.3,93.6
89,University of BonnGermany,64.6,51.6,56.1,86,55,68.7
90,Sorbonne UniversityFrance,64.5,58.7,58.3,76.6,40,72.3
91,Free University of BerlinGermany,64.2,54.2,62.4,74.8,41.7,76.4
91,Korea Advanced Institute of Science and Technology (KAIST)South Korea,64.2,64.5,66,65.7,100,38.2
93,Université Paris-SaclayFrance,63.9,56.7,55.2,79.1,54.6,69.7
94,University of BernSwitzerland,63.7,46,46.5,90.7,86.3,88.2
95,"University of California, IrvineUnited States",63.6,43.5,51.6,93.6,59.4,73.2
95,Institut Polytechnique de ParisFrance,63.6,58.5,58.8,64.8,72.7,95.6
95,Nanjing UniversityChina,63.6,58.4,58.2,74.3,87.3,55.2
98,Vanderbilt UniversityUnited States,63.5,49.5,47.5,96.5,66.7,50.6
99,"City University of Hong KongHong Kong
Explore",63.4,47.2,53,79.9,76.6,99.6
99,RWTH Aachen UniversityGermany,63.4,56.8,64.5,66.1,93.8,65.1
