Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited Kingdom,96.4,92.3,99.7,99,74.9,96.2
2,Harvard UniversityUnited States,95.2,94.8,99,99.3,49.5,80.5
3,University of CambridgeUnited Kingdom,94.8,90.9,99.5,97,54.2,95.8
3,Stanford UniversityUnited States,94.8,94.2,96.7,99.8,65,79.8
5,Massachusetts Institute of TechnologyUnited States,94.2,90.7,93.6,99.8,90.9,89.3
6,California Institute of TechnologyUnited States,94.1,90.9,97,97.3,89.8,83.6
7,Princeton UniversityUnited States,92.4,87.6,95.9,99.1,66,80.3
8,"University of California, BerkeleyUnited States",92.1,86.4,95.8,99,76.8,78.4
9,Yale UniversityUnited States,91.4,92.6,92.7,97,55,70.9
10,Imperial College LondonUnited Kingdom,90.4,82.8,90.8,98.3,59.8,97.5
11,Columbia UniversityUnited States,89.4,89.4,87.7,97.1,44.8,79.9
11,ETH ZurichSwitzerland,89.4,82.6,95.4,90.7,59.1,97.7
13,The University of ChicagoUnited States,88.9,86.5,88.8,97.7,56.2,74.2
14,University of PennsylvaniaUnited States,88.8,86,88.8,97,75.8,71.5
15,Johns Hopkins UniversityUnited States,88.3,79.4,91.5,97,89.5,75.3
16,Tsinghua UniversityChina,88.2,90.1,97.4,88,100,40.3
17,Peking UniversityChina,88.1,92.5,96.7,80.4,91.8,65
18,University of TorontoCanada,87.4,77.3,93.3,92.8,65.5,89.7
19,"National University of SingaporeSingapore
Explore",87.1,76.4,93,90.2,87,94
20,Cornell UniversityUnited States,85.9,80.2,86.1,97.3,40.4,76.9
21,"University of California, Los AngelesUnited States",85.8,80.4,88.9,95.4,58.8,65
22,UCLUnited Kingdom,85.7,74.5,85.4,97.9,44.5,96.7
23,University of Michigan-Ann ArborUnited States,82.9,79.3,84.6,93.6,48.7,59.2
24,New York UniversityUnited States,82.7,74.2,84,95,44.6,74.7
25,Duke UniversityUnited States,82.6,78.1,76.2,95.7,99.6,68
26,Northwestern UniversityUnited States,82.1,71.7,80.7,97.5,85,67
26,University of WashingtonUnited States,82.1,71.6,82.8,98.9,53.9,63
28,Carnegie Mellon UniversityUnited States,81.1,65.4,81.8,98.7,55.2,80.1
29,University of EdinburghUnited Kingdom,79.8,66.9,74.5,97.1,40.9,95.6
30,"Technical University of MunichGermany
Explore",79.3,69.8,82.2,84.5,100,77.7
31,"University of Hong KongHong Kong
Explore",78.5,65.6,74.1,92.4,60.6,98.7
32,"University of California, San DiegoUnited States",78.1,60.2,77.2,98.2,93,67.8
33,"LMU MunichGermany
Explore",77.7,67.3,78.3,87.4,100,70.5
34,University of MelbourneAustralia,77.6,67.1,75.9,85.8,78.1,93.6
35,King’s College LondonUnited Kingdom,77.1,58,72.9,98.2,45.6,96.1
36,"Nanyang Technological University, SingaporeSingapore
Explore",77,60.9,77.9,87.2,84.5,94.5
37,London School of Economics and Political ScienceUnited Kingdom,76.5,59.2,74.3,95.1,37.8,92.8
38,Georgia Institute of TechnologyUnited States,76,60.2,75.9,91.4,64.9,81.2
39,The University of TokyoJapan,75.9,88.1,91.4,55.5,86.7,43.3
40,University of British ColumbiaCanada,75.7,62.9,73.1,88.8,47.9,94.8
41,École Polytechnique Fédérale de LausanneSwitzerland,75.4,65.6,70.7,84.5,71.7,98
42,"KU LeuvenBelgium
Explore",74.6,59.7,74.9,86.7,99.2,76.8
43,"Universität HeidelbergGermany
Explore",74.1,67.2,61.5,96,55.7,71.2
44,Monash UniversityAustralia,73.6,56.9,68.7,90.4,78.4,91
45,"The Chinese University of Hong KongHong Kong
Explore",73.2,59.1,61.1,95.7,60.9,92.5
46,"McGill UniversityCanada
Explore",73,62,72.4,82.5,43.5,91
47,Paris Sciences et Lettres – PSL Research University ParisFrance,72.9,68.2,73.5,75.5,78.8,76.3
48,University of Illinois at Urbana-ChampaignUnited States,72.7,67.1,78.9,78.1,50.1,56.2
49,Karolinska InstituteSweden,72.4,51.1,68.8,94,66.4,87.3
50,University of Texas at AustinUnited States,72.3,66.2,73.1,87.5,51.3,40.1
51,Fudan UniversityChina,72,71.8,75.8,74.5,77.3,45.2
52,Shanghai Jiao Tong UniversityChina,71.2,75.3,82.9,59.9,100,43.7
53,"The University of QueenslandAustralia
Explore",71.1,55.9,66.5,84.3,82,93.2
54,"University of ManchesterUnited Kingdom
Explore",70.9,54.5,63.7,91.3,45.3,92.7
54,The University of SydneyAustralia,70.9,53.1,65.8,88.5,73.2,90.6
56,Seoul National UniversitySouth Korea,70.8,75.2,76.2,67.6,96.6,35.9
57,Washington University in St LouisUnited States,70.6,60.3,56.8,98.2,47.5,64
58,"The Hong Kong University of Science and TechnologyHong Kong
Explore",70.5,51.4,63.4,87.7,95,97.7
59,Wageningen University & ResearchNetherlands,70.3,50.4,60.2,93.2,100,88.8
60,University of AmsterdamNetherlands,69.6,48,64.1,93.3,44.4,91.9
61,Brown UniversityUnited States,69.3,64.5,58,89.5,39,63.3
62,"Australian National UniversityAustralia
Explore",69,51.3,69.2,81.8,45.6,96
63,"University of California, DavisUnited States",68.5,59.7,66.3,80.9,52.4,68.7
64,"University of California, Santa BarbaraUnited States",68.4,44.6,61.5,96.2,80.1,76
65,University of Southern CaliforniaUnited States,68.3,58.9,58.6,90.4,43.8,63.7
66,Utrecht UniversityNetherlands,68.2,44.3,66,91.2,72.7,78.8
67,"Zhejiang UniversityChina
Explore",68.1,67.3,74.8,62.8,100,55.1
68,Kyoto UniversityJapan,68,77.5,79.1,52.3,88.6,40.5
69,University of North Carolina at Chapel HillUnited States,67.8,58.9,59.7,93.3,46,41.7
70,Delft University of TechnologyNetherlands,67.7,58.8,76.4,59.1,93.4,94.2
71,Boston UniversityUnited States,67.5,55.9,56.1,92.9,41.1,65.9
