Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"19,720",10.9,35%,46 : 54
2,California Institute of TechnologyUnited States,"2,181",6.7,27%,31 : 69
3,Stanford UniversityUnited States,"15,658",7.7,22%,42 : 58
4,University of CambridgeUnited Kingdom,"18,605",11.3,35%,45 : 55
5,Massachusetts Institute of TechnologyUnited States,"11,192",8.8,33%,37 : 63
6,Harvard UniversityUnited States,"19,890",8.8,25%,n/a
7,Princeton UniversityUnited States,"7,925",8.4,23%,45 : 55
8,Imperial College LondonUnited Kingdom,"15,235",11.3,52%,37 : 63
9,ETH ZurichSwitzerland,"18,616",14.9,37%,31 : 69
10,"University of California, BerkeleyUnited States","34,834",12,16%,52 : 48
10,The University of ChicagoUnited States,"13,486",6.2,24%,42 : 58
12,Yale UniversityUnited States,"11,946",4.4,21%,49 : 51
13,University of PennsylvaniaUnited States,"20,367",6.5,20%,51 : 49
14,"University of California, Los AngelesUnited States","38,392",9.9,16%,53 : 47
15,UCLUnited Kingdom,"28,600",10.6,47%,56 : 44
16,Columbia UniversityUnited States,"25,659",6,30%,n/a
17,Johns Hopkins UniversityUnited States,"15,303",3.5,24%,51 : 49
18,Duke UniversityUnited States,"15,204",4.8,17%,49 : 51
19,Cornell UniversityUnited States,"21,593",9.9,19%,49 : 51
20,Northwestern UniversityUnited States,"18,570",14,16%,48 : 52
21,University of Michigan-Ann ArborUnited States,"41,912",8.8,16%,48 : 52
22,University of TorontoCanada,"68,093",18.8,16%,n/a
23,Carnegie Mellon UniversityUnited States,"12,311",13.2,38%,38 : 62
24,"National University of SingaporeSingapore
Explore","31,111",16.7,32%,50 : 50
25,London School of Economics and Political ScienceUnited Kingdom,"9,400",11.8,70%,53 : 47
25,University of WashingtonUnited States,"45,162",11.9,15%,53 : 47
27,University of EdinburghUnited Kingdom,"25,280",12.5,37%,59 : 41
28,Karolinska InstituteSweden,"7,723",11.3,23%,69 : 31
29,Peking UniversityChina,"42,977",8.8,15%,48 : 52
30,"LMU MunichGermany
Explore","36,180",15.7,14%,61 : 39
30,École Polytechnique Fédérale de LausanneSwitzerland,"9,750",11.2,54%,27 : 73
32,New York UniversityUnited States,"43,021",6.6,25%,55 : 45
33,Georgia Institute of TechnologyUnited States,"19,847",19.8,26%,31 : 69
33,University of MelbourneAustralia,"42,273",24.8,37%,55 : 45
35,Tsinghua UniversityChina,"41,537",14.1,10%,32 : 68
36,University of British ColumbiaCanada,"51,889",18.2,29%,54 : 46
36,University of Illinois at Urbana-ChampaignUnited States,"43,202",18.3,22%,46 : 54
36,King’s College LondonUnited Kingdom,"21,985",11.3,38%,61 : 39
39,The University of TokyoJapan,"26,080",7,10%,n/a
40,"KU LeuvenBelgium
Explore","46,381",41.9,16%,49 : 51
41,"University of California, San DiegoUnited States","28,416",6.6,14%,47 : 53
42,"McGill UniversityCanada
Explore","30,911",13.5,24%,57 : 43
43,"Universität HeidelbergGermany
Explore","29,527",24.9,17%,55 : 45
43,"University of Hong KongHong Kong
Explore","20,095",17.8,39%,51 : 49
45,University of Wisconsin-MadisonUnited States,"40,048",11,12%,51 : 49
46,"Technical University of MunichGermany
Explore","36,929",51.9,22%,33 : 67
47,"Australian National UniversityAustralia
Explore","15,402",19.9,35%,52 : 48
48,"University of California, Santa BarbaraUnited States","22,267",27.4,12%,51 : 49
49,"The Hong Kong University of Science and TechnologyHong Kong
Explore","11,960",27.3,38%,n/a
50,University of Texas at AustinUnited States,"48,689",17.2,10%,51 : 49
51,Brown UniversityUnited States,"8,694",10.2,20%,n/a
51,"University of California, DavisUnited States","36,060",13.7,15%,55 : 45
53,University of MinnesotaUnited States,"46,625",17.5,13%,52 : 48
54,"Nanyang Technological University, SingaporeSingapore
Explore","25,278",16.1,32%,49 : 51
