Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
55,"University of ManchesterUnited Kingdom
Explore","34,015",14.4,36%,52 : 48
56,University of North Carolina at Chapel HillUnited States,"26,412",7.5,8%,57 : 43
57,Humboldt University of BerlinGermany,"31,043",54.8,17%,n/a
57,Washington University in St LouisUnited States,"12,528",5.7,17%,n/a
59,Delft University of TechnologyNetherlands,"16,174",18.9,25%,27 : 73
60,"The University of QueenslandAustralia
Explore","38,892",35.4,25%,55 : 45
60,University of Southern CaliforniaUnited States,"38,466",13.6,23%,52 : 48
60,The University of SydneyAustralia,"42,678",19,29%,57 : 43
63,University of AmsterdamNetherlands,"25,344",14.3,10%,58 : 42
64,Boston UniversityUnited States,"24,714",8.4,19%,59 : 41
65,Wageningen University & ResearchNetherlands,"9,535",15.6,23%,56 : 44
66,École Normale SupérieureFrance,"1,548",9.6,18%,40 : 60
67,"University of Maryland, College ParkUnited States","31,353",16.8,9%,48 : 52
68,Penn State (Main campus)United States,"45,359",12.3,13%,46 : 54
69,Erasmus University RotterdamNetherlands,"21,854",20.6,19%,49 : 51
70,Purdue University West LafayetteUnited States,"38,788",17.7,22%,42 : 58
71,"University of BristolUnited Kingdom
Explore","18,545",13.6,25%,52 : 48
72,Ohio State University (Main campus)United States,"52,497",12.8,12%,49 : 51
72,Seoul National UniversitySouth Korea,"26,777",13.1,11%,n/a
74,Monash UniversityAustralia,"44,217",34.5,25%,57 : 43
75,Free University of BerlinGermany,"32,909",53.9,21%,58 : 42
76,"The Chinese University of Hong KongHong Kong
Explore","18,433",10.5,27%,n/a
77,"Leiden UniversityNetherlands
Explore","23,597",17.8,11%,59 : 41
78,"UNSW SydneyAustralia
Explore","39,121",26.3,32%,46 : 54
78,RWTH Aachen UniversityGermany,"42,298",54.9,17%,32 : 68
80,University of GroningenNetherlands,"25,281",24.4,13%,52 : 48
80,University of Pittsburgh-Pittsburgh campusUnited States,"26,501",5.9,10%,51 : 49
82,Dartmouth CollegeUnited States,"6,109",6.7,15%,47 : 53
82,Emory UniversityUnited States,"12,649",4.4,19%,57 : 43
82,Technical University of BerlinGermany,"20,548",60.3,19%,34 : 66
82,University of WarwickUnited Kingdom,"18,560",14.6,38%,47 : 53
86,Utrecht UniversityNetherlands,"31,142",15.6,7%,59 : 41
87,Rice UniversityUnited States,"6,447",9,27%,43 : 57
88,"University of GlasgowUnited Kingdom
Explore","22,855",15.3,32%,57 : 43
89,Korea Advanced Institute of Science and Technology (KAIST)South Korea,"9,327",9.5,9%,20 : 80
89,University of TübingenGermany,"28,074",37.3,11%,58 : 42
91,University of HelsinkiFinland,"23,369",17,6%,65 : 35
91,Kyoto UniversityJapan,"22,547",5.5,7%,n/a
93,Uppsala UniversitySweden,"25,275",16.6,12%,57 : 43
94,"Maastricht UniversityNetherlands
Explore","16,030",18.3,47%,58 : 42
95,University of FreiburgGermany,"25,890",33.7,16%,52 : 48
96,Durham UniversityUnited Kingdom,"15,705",15.3,26%,54 : 46
96,Lund UniversitySweden,"28,852",12,15%,53 : 47
98,Aarhus UniversityDenmark,"24,633",13.9,14%,55 : 45
98,University of BaselSwitzerland,"12,560",17.4,24%,54 : 46
98,"University of California, IrvineUnited States","29,304",17.2,18%,53 : 47
