Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,California Institute of TechnologyUnited States,94.9,94.4,98.2,99.8,91.2,65.8
2,Harvard UniversityUnited States,93.9,95.3,98.5,99.1,40.6,66.2
2,University of OxfordUnited Kingdom,93.9,89,98.5,95.4,90.3,90.2
4,Stanford UniversityUnited States,93.8,94.7,96.8,99.1,61.3,68
5,Massachusetts Institute of TechnologyUnited States,93,92.9,89,100,94.3,82
6,Princeton UniversityUnited States,92.7,89.9,97.6,99.7,80.5,59.6
7,University of CambridgeUnited Kingdom,92.3,90.6,95.3,95.7,52.8,86.7
8,"University of California, BerkeleyUnited States",89.8,83.2,97.5,99.3,59.5,57.3
9,The University of ChicagoUnited States,87.8,85.6,88.2,98,-,58.6
10,Imperial College LondonUnited Kingdom,87.5,84.5,88.1,90,72.3,91.8
11,Yale UniversityUnited States,87.4,89.5,90.5,93.5,38.7,57.6
12,"University of California, Los AngelesUnited States",86.3,84.8,91,95.6,-,46.4
13,Columbia UniversityUnited States,85.2,86.6,79.1,95.6,-,68
14,ETH ZurichSwitzerland,84.5,77.6,88.2,85,78.8,96.7
15,Johns Hopkins UniversityUnited States,83.7,75.7,85.1,95,100,59.3
16,University of PennsylvaniaUnited States,81,79.8,81.2,95,45.2,40.6
17,Duke UniversityUnited States,79.3,73.9,73,96.7,100,50
18,University of Michigan-Ann ArborUnited States,79.2,70,86.2,90.8,53.5,49.5
19,Cornell UniversityUnited States,79.1,72.1,83.8,90.8,35.8,55.6
20,University of TorontoCanada,78.3,73.6,81.5,84.5,45.8,70
21,UCLUnited Kingdom,77.6,70.5,77.5,84.1,46.8,90.2
22,Northwestern UniversityUnited States,77.1,70.2,76,97.1,61.9,34.4
23,The University of TokyoJapan,76.4,84.7,88,69.8,56.7,29.6
24,Carnegie Mellon UniversityUnited States,76,63.1,77.4,93.9,52.5,58.1
25,University of WashingtonUnited States,73.4,65.6,69.2,95.6,43.1,43.2
26,"National University of SingaporeSingapore
Explore",72.4,68,77.8,66.4,64.3,94.3
27,University of Texas at AustinUnited States,72.2,64.7,69,91.3,59.6,42.4
28,Georgia Institute of TechnologyUnited States,71.6,59.4,68.6,87.9,71.3,67.8
29,University of Illinois at Urbana-ChampaignUnited States,71.4,66,78.9,79.4,-,41.1
30,University of Wisconsin-MadisonUnited States,71.1,69.8,67.7,87.2,51.2,32.3
31,University of British ColumbiaCanada,70.8,59.9,67.9,83.7,43.1,84.2
32,London School of Economics and Political ScienceUnited Kingdom,69.8,65.2,74.2,69.2,43.6,81.7
33,"University of California, Santa BarbaraUnited States",68.4,47.8,58.2,99.4,86.7,61.8
34,University of MelbourneAustralia,68.2,57.1,64.2,80.2,65.1,81.3
35,"McGill UniversityCanada
Explore",68.1,61.5,68.1,74.5,40.8,77.8
36,Karolinska InstituteSweden,67.8,58.1,67.7,76,68.7,73.2
37,École Polytechnique Fédérale de LausanneSwitzerland,67.7,52.9,48.3,95.9,49.2,98.2
38,King’s College LondonUnited Kingdom,67.6,56.2,56.8,87.6,38.3,86
39,University of EdinburghUnited Kingdom,67.5,56.6,56.9,87.6,42.5,81.5
40,New York UniversityUnited States,67.4,65.4,58.4,87.9,29.9,41.8
40,"University of California, San DiegoUnited States",67.4,52,63,96.7,48.4,35.6
42,Washington University in St LouisUnited States,67.2,59.5,52.9,96.4,-,44.6
43,"University of Hong KongHong Kong
Explore",65.3,61.6,69.9,61.5,56.9,80.3
