Rank,"Name
Country/Region",Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,University of OxfordUnited Kingdom,95.4,90.5,99.6,98.4,65.5,96.4
2,California Institute of TechnologyUnited States,94.5,92.1,97.2,97.9,88,82.5
3,University of CambridgeUnited Kingdom,94.4,91.4,98.7,95.8,59.3,95
4,Stanford UniversityUnited States,94.3,92.8,96.4,99.9,66.2,79.5
5,Massachusetts Institute of TechnologyUnited States,93.6,90.5,92.4,99.5,86.9,89
6,Princeton UniversityUnited States,93.2,90.3,96.3,98.8,58.6,81.1
7,Harvard UniversityUnited States,93,89.2,98.6,99.1,47.3,76.3
8,Yale UniversityUnited States,91.7,92,94.8,97.3,52.4,68.7
9,The University of ChicagoUnited States,90.2,89.1,91.4,96.7,52.7,76
10,Imperial College LondonUnited Kingdom,89.8,84.5,87.6,97,69.9,97.1
11,University of PennsylvaniaUnited States,89.6,87.5,90.4,98.2,74,65
12,Johns Hopkins UniversityUnited States,89.2,81.7,91.4,98.3,91.3,73.2
13,"University of California, BerkeleyUnited States",88.3,83,90.6,99.2,46.1,70.4
13,ETH ZurichSwitzerland,88.3,81.8,92.8,90.3,56.8,98.2
15,UCLUnited Kingdom,87.1,77.8,88.7,96.1,42.7,96.2
16,Columbia UniversityUnited States,87,85.6,82.6,98.2,44.8,79.3
17,"University of California, Los AngelesUnited States",86.8,83.1,88.6,97.3,51.3,64.1
18,University of TorontoCanada,85.5,76.6,89.5,93.6,50.5,84.7
19,Cornell UniversityUnited States,85.1,79.7,86,96.6,37.1,73.4
20,Duke UniversityUnited States,84,82.4,76.8,97,99.9,61.5
21,University of Michigan-Ann ArborUnited States,83.8,79.4,86.1,94.9,47.7,59.2
22,Northwestern UniversityUnited States,83.5,74.2,83.8,97.8,78.4,64.1
23,Tsinghua UniversityChina,82.6,86.6,94,74.6,100,47.4
24,Peking UniversityChina,82.3,89.1,90,73.2,86.6,59.6
25,"National University of SingaporeSingapore
Explore",81.9,76.8,90.4,76.9,58.8,95.5
26,University of WashingtonUnited States,81.6,72.2,82.2,98.6,47.5,60.4
27,Carnegie Mellon UniversityUnited States,81.3,65.9,82.7,98.2,50.5,80.6
27,London School of Economics and Political ScienceUnited Kingdom,81.3,69,83,92.8,35.1,93.2
29,New York UniversityUnited States,81.1,76.8,77.5,96.5,38.7,65.4
30,University of EdinburghUnited Kingdom,79.4,67.3,74.1,96.4,38.9,93.8
31,"University of California, San DiegoUnited States",78.8,62.6,78.9,97.7,90.3,63.7
32,"LMU MunichGermany
Explore",77.8,68.4,77,88.8,100,67.2
32,University of MelbourneAustralia,77.8,65.9,74.1,89.8,76.3,93.1
34,University of British ColumbiaCanada,76.3,61.5,73.2,92.5,43.8,94.4
35,"University of Hong KongHong Kong
Explore",75.9,69.5,77.2,76.6,59.7,98.6
36,King’s College LondonUnited Kingdom,75.7,61.3,68.5,94.8,45.6,95.6
36,The University of TokyoJapan,75.7,85.9,89.6,60.7,77.4,38.2
38,École Polytechnique Fédérale de LausanneSwitzerland,75.4,66.6,66.3,88.3,66.4,98.6
38,Georgia Institute of TechnologyUnited States,75.4,60.2,76.4,90.4,61.6,77.1
38,University of Texas at AustinUnited States,75.4,68.2,76.2,93.2,46.6,39.1
41,Karolinska InstituteSweden,74.7,55.4,71.4,96.1,71.2,81.2
42,"McGill UniversityCanada
Explore",74.3,65,71.9,84.7,42.8,90.4
43,"Technical University of MunichGermany
Explore",74.1,64.6,70.4,85.5,100,72.9
44,"Universität HeidelbergGermany
Explore",73.5,67.1,60.3,96.2,54.6,67.5
45,"KU LeuvenBelgium
Explore",73.2,58.7,73.9,85.3,99.3,71.8
45,Paris Sciences et Lettres – PSL Research University ParisFrance,73.2,71.6,71.4,77,52.2,78.7
47,"The Hong Kong University of Science and TechnologyHong Kong
Explore",73.1,57.4,66.1,89.8,71.9,97.7
48,University of Illinois at Urbana-ChampaignUnited States,72.9,63.2,78,84.4,47.9,54.3
48,"Nanyang Technological University, SingaporeSingapore
Explore",72.9,57.6,70.4,84.9,76.5,95.1
50,"Australian National UniversityAustralia
Explore",72.1,54.4,69.7,88.4,46.4,95.5
51,University of Wisconsin-MadisonUnited States,72,68.8,70.3,85.3,46.3,47.4
52,Washington University in St LouisUnited States,71.5,64.2,57.5,98.8,40.7,57.1
53,Brown UniversityUnited States,70,64,56.1,94.9,36.5,61.4
54,University of North Carolina at Chapel HillUnited States,69.9,59.7,63.2,96.9,43.9,38
55,"University of California, DavisUnited States",69.7,62.4,66.9,83.2,51.4,62.4
55,"University of ManchesterUnited Kingdom
Explore",69.7,56.9,63.8,85.2,44.7,91
57,"University of California, Santa BarbaraUnited States",69.6,47.9,63.6,96.4,84.5,68.1
57,"The Chinese University of Hong KongHong Kong
Explore",69.6,55.8,62.8,84.5,55.2,97.8
59,Wageningen University & ResearchNetherlands,69.4,49.3,57.1,96.1,100,81.9
60,The University of SydneyAustralia,69.3,51,61.5,90.7,67.7,89.2
61,Boston UniversityUnited States,68.5,57.3,55.6,95.7,41.4,64.4
62,University of AmsterdamNetherlands,68.1,48,63.4,91.2,45.3,82
62,University of Southern CaliforniaUnited States,68.1,54.7,59.3,93.1,39.7,66.2
